method,evaluation_episodes,mean_reward,std_reward,mean_success_rate,std_success_rate,mean_latency_ms,std_latency_ms,mean_energy_mJ,std_energy_mJ,success_rate_percent,success_std_percent
CA-MADDPG-V2 three-seed mean,100,-244.66600921366862,35.53154682268375,0.4572,0.05120483282466191,1925.8129455862522,242.3019538186519,29940.520838043158,4929.182750249958,45.72,5.120483282466191
CA-MADDPG-V2.2 three-seed mean,100,-216.4118499898238,35.34872120533356,0.4936,0.05110162406462879,1684.1400310716501,204.72132111055413,38666.154114769335,6376.600765115997,49.36,5.110162406462878
Latency heuristic,100,-206.420659238397,35.321413390420794,0.5083,0.05083256333246922,1613.159707882869,194.5491690211871,37113.17465864269,6127.817039281136,50.83,5.083256333246922
MADDPG three-seed mean,100,-224.22167753336205,35.45992533728715,0.4843333333333333,0.05126568632952514,1785.9129327158773,291.62099633794406,43354.071118198495,6990.189943743102,48.43333333333333,5.126568632952514
Random allocation,100,-268.0981279639273,36.4969051248309,0.3849,0.05223287018030628,2601.0744069526527,383.2753249913625,86513.62640278206,16207.43913182014,38.49,5.223287018030628
