training_seed,saved_episode,test_seed,method,reward,success_rate,mean_latency_ms,mean_energy_mJ
42,10,950055,CA-MADDPG-V2.2 Seed 42,-241.20845075810703,0.46,1734.398277244989,44589.950927170656
42,10,950056,CA-MADDPG-V2.2 Seed 42,-226.89114637389488,0.48,1716.9145670140133,39843.673058583954
42,10,950057,CA-MADDPG-V2.2 Seed 42,-178.7280006671064,0.58,1591.7003333567616,37167.57830105909
42,10,950058,CA-MADDPG-V2.2 Seed 42,-275.84961412162596,0.44,2047.9201255833377,55003.77821892367
42,10,950059,CA-MADDPG-V2.2 Seed 42,-197.67137284835738,0.52,1811.41991202386,39415.883147916575
42,10,950060,CA-MADDPG-V2.2 Seed 42,-201.39658727298536,0.53,1664.3601260708338,37252.805304900416
42,10,950061,CA-MADDPG-V2.2 Seed 42,-212.52278818782366,0.51,1747.0102305583473,43326.666886571234
42,10,950062,CA-MADDPG-V2.2 Seed 42,-197.02249013383963,0.52,1543.6911560306764,36373.41482268716
42,10,950063,CA-MADDPG-V2.2 Seed 42,-280.09945305882314,0.41,2161.3663836462024,58970.46428188882
42,10,950064,CA-MADDPG-V2.2 Seed 42,-237.85947813904198,0.47,1706.278470139747,39874.88195965255
42,10,950065,CA-MADDPG-V2.2 Seed 42,-226.281446271188,0.47,1594.8054543591613,35898.492742080285
42,10,950066,CA-MADDPG-V2.2 Seed 42,-196.61297622134472,0.51,1631.2559478673293,40244.96271969433
42,10,950067,CA-MADDPG-V2.2 Seed 42,-251.47786777608184,0.45,1890.6585638196445,42211.29034655311
42,10,950068,CA-MADDPG-V2.2 Seed 42,-265.84170548944024,0.41,2328.547572017355,56360.335175658554
42,10,950069,CA-MADDPG-V2.2 Seed 42,-166.5383074247861,0.56,1517.1403992360572,36938.80001757087
42,10,950070,CA-MADDPG-V2.2 Seed 42,-216.06627697706702,0.49,1704.3003345231052,38037.54566582881
42,10,950071,CA-MADDPG-V2.2 Seed 42,-136.49128152825432,0.6,1301.8306165899203,29335.261630643872
42,10,950072,CA-MADDPG-V2.2 Seed 42,-219.43352609787576,0.5,1800.890413100985,43994.96774097359
42,10,950073,CA-MADDPG-V2.2 Seed 42,-225.22285990135055,0.47,1838.3148066541007,37580.88179703044
42,10,950074,CA-MADDPG-V2.2 Seed 42,-153.16626183863414,0.61,1504.903681367774,34414.534168257924
42,10,950075,CA-MADDPG-V2.2 Seed 42,-182.03447013426788,0.56,1513.105644958628,36314.48548783125
42,10,950076,CA-MADDPG-V2.2 Seed 42,-205.7508446002318,0.5,1470.7719361320096,33291.785227832544
42,10,950077,CA-MADDPG-V2.2 Seed 42,-195.74205522693234,0.52,1617.7043687877197,39232.153682792
42,10,950078,CA-MADDPG-V2.2 Seed 42,-247.8238480035282,0.45,1791.6737506510829,43141.94825450567
42,10,950079,CA-MADDPG-V2.2 Seed 42,-195.71131472361276,0.49,1357.9130101304584,29332.019677178396
42,10,950080,CA-MADDPG-V2.2 Seed 42,-283.0606559688897,0.42,1950.4836484822808,53332.515938670986
42,10,950081,CA-MADDPG-V2.2 Seed 42,-231.57851836455674,0.47,1691.6318424408228,41898.58973874632
42,10,950082,CA-MADDPG-V2.2 Seed 42,-143.12102327259137,0.6,1507.7493523939527,34558.13948214036
42,10,950083,CA-MADDPG-V2.2 Seed 42,-242.5658388702625,0.46,1556.7372538044153,36162.44320553783
42,10,950084,CA-MADDPG-V2.2 Seed 42,-184.010167927779,0.52,1697.4387360387482,41648.81708034724
42,10,950085,CA-MADDPG-V2.2 Seed 42,-187.38735604252057,0.51,1506.1490292923104,35229.57829362015
42,10,950086,CA-MADDPG-V2.2 Seed 42,-180.95760137922795,0.52,1458.335621875286,35596.057980168305
42,10,950087,CA-MADDPG-V2.2 Seed 42,-200.45014825614294,0.52,1600.2036105842249,37973.448448211646
42,10,950088,CA-MADDPG-V2.2 Seed 42,-256.922510591222,0.44,1718.5972738083544,40411.0996833642
42,10,950089,CA-MADDPG-V2.2 Seed 42,-143.3725891713944,0.61,1434.3856603529491,35602.43266457264
42,10,950090,CA-MADDPG-V2.2 Seed 42,-239.038436734377,0.44,2095.4367514022542,50433.76314979307
42,10,950091,CA-MADDPG-V2.2 Seed 42,-256.67207121675796,0.42,1714.6087034120437,41885.49382868698
42,10,950092,CA-MADDPG-V2.2 Seed 42,-210.2900073280021,0.5,1609.5286807804846,40977.25157734818
42,10,950093,CA-MADDPG-V2.2 Seed 42,-225.85326282637308,0.5,1755.0638985657172,42041.26733935771
42,10,950094,CA-MADDPG-V2.2 Seed 42,-196.7103452321709,0.5,1501.8972429716127,36096.06870612899
42,10,950095,CA-MADDPG-V2.2 Seed 42,-251.19950622525863,0.42,1523.9310018428152,35460.66897952897
42,10,950096,CA-MADDPG-V2.2 Seed 42,-262.87170467958873,0.43,1651.8710706299871,30430.350071518766
42,10,950097,CA-MADDPG-V2.2 Seed 42,-256.13719525663527,0.42,2251.3199901764306,54256.63441605648
42,10,950098,CA-MADDPG-V2.2 Seed 42,-194.21749333412674,0.54,1584.2825651350968,35550.47579469049
42,10,950099,CA-MADDPG-V2.2 Seed 42,-226.78530503283048,0.48,1836.5162302664655,40492.05315010021
43,10,950000,CA-MADDPG-V2.2 Seed 43,-231.84093314156334,0.46,1494.2510792540913,33210.32708870718
43,10,950001,CA-MADDPG-V2.2 Seed 43,-238.64377112633414,0.46,1568.3091636189286,31152.69174375115
43,10,950002,CA-MADDPG-V2.2 Seed 43,-182.52574231079285,0.51,1314.1726682598953,27228.325380017985
43,10,950003,CA-MADDPG-V2.2 Seed 43,-198.0821998188128,0.53,1650.0937929745267,32913.96119112061
43,10,950004,CA-MADDPG-V2.2 Seed 43,-210.6495271915331,0.51,1713.9426364364176,40635.38381801576
43,10,950005,CA-MADDPG-V2.2 Seed 43,-248.62993861959598,0.47,1758.9780707411091,44634.86201871491
43,10,950006,CA-MADDPG-V2.2 Seed 43,-217.38936407914673,0.51,1804.4892412972883,45756.91103153289
43,10,950007,CA-MADDPG-V2.2 Seed 43,-126.89792141824603,0.61,1338.3933793260348,30224.54223960066
43,10,950008,CA-MADDPG-V2.2 Seed 43,-261.7882587243084,0.42,1927.8336541336307,45841.512205915715
43,10,950009,CA-MADDPG-V2.2 Seed 43,-181.1291829635823,0.54,1660.148234418845,39671.65994621585
43,10,950010,CA-MADDPG-V2.2 Seed 43,-173.9203096204871,0.57,1481.0155088865215,35050.988876172065
43,10,950011,CA-MADDPG-V2.2 Seed 43,-178.95985125219093,0.55,1592.6330494695812,41271.93189174805
43,10,950012,CA-MADDPG-V2.2 Seed 43,-241.0237748511752,0.44,1694.3674960077988,37871.7938903808
43,10,950013,CA-MADDPG-V2.2 Seed 43,-209.12660346045843,0.48,1555.5654164306934,34171.827428192206
43,10,950014,CA-MADDPG-V2.2 Seed 43,-146.76028702313678,0.61,1534.404103294785,34547.931214016426
43,10,950015,CA-MADDPG-V2.2 Seed 43,-216.81611930613548,0.51,1640.7935291607687,39471.53318428377
43,10,950016,CA-MADDPG-V2.2 Seed 43,-225.17314751361084,0.48,1563.0003038429218,31140.98445370275
43,10,950017,CA-MADDPG-V2.2 Seed 43,-251.974172180389,0.43,1955.7365318401787,43704.205152098315
43,10,950018,CA-MADDPG-V2.2 Seed 43,-198.74508187252462,0.51,1422.584394305774,30559.47351221281
43,10,950019,CA-MADDPG-V2.2 Seed 43,-200.23715511739127,0.53,1713.1892337090262,41398.45081328396
43,10,950020,CA-MADDPG-V2.2 Seed 43,-170.40012341673355,0.54,1294.6264280622806,29163.26441854726
43,10,950021,CA-MADDPG-V2.2 Seed 43,-181.78121645635312,0.54,1454.2457753702424,31501.903636409497
43,10,950022,CA-MADDPG-V2.2 Seed 43,-190.31687356738064,0.53,1502.214646737066,29893.288168581934
43,10,950023,CA-MADDPG-V2.2 Seed 43,-205.35898042213213,0.49,1990.4899316665976,47380.21715810756
43,10,950024,CA-MADDPG-V2.2 Seed 43,-185.75778163024802,0.54,1566.4641754303793,32991.9977693377
43,10,950025,CA-MADDPG-V2.2 Seed 43,-240.54729879921229,0.46,1720.7340840415436,41254.237643686676
43,10,950026,CA-MADDPG-V2.2 Seed 43,-256.9278005303564,0.45,1829.968750802183,44868.51372922731
43,10,950027,CA-MADDPG-V2.2 Seed 43,-231.12815940328517,0.48,1609.8042011390767,32446.85682040555
43,10,950028,CA-MADDPG-V2.2 Seed 43,-240.5244204680525,0.45,1848.5172663422286,42817.72053454164
43,10,950029,CA-MADDPG-V2.2 Seed 43,-259.0590562928251,0.45,1695.5011985124802,39297.316540600215
43,10,950030,CA-MADDPG-V2.2 Seed 43,-212.01959951760784,0.49,1509.0839033370046,36389.74077844967
43,10,950031,CA-MADDPG-V2.2 Seed 43,-249.88254142885233,0.46,1711.584973059345,39322.17563850155
43,10,950032,CA-MADDPG-V2.2 Seed 43,-234.6223167827909,0.46,1581.809963129783,30941.71652236384
43,10,950033,CA-MADDPG-V2.2 Seed 43,-208.36320374884207,0.51,1769.4976449095973,39912.703139513505
43,10,950034,CA-MADDPG-V2.2 Seed 43,-221.61489680535186,0.5,1736.7246071141126,43516.046460189464
43,10,950035,CA-MADDPG-V2.2 Seed 43,-217.54210818580358,0.5,1695.3543588829768,39667.25462965493
43,10,950036,CA-MADDPG-V2.2 Seed 43,-221.2739909307252,0.5,1674.125756165676,37511.056235346645
43,10,950037,CA-MADDPG-V2.2 Seed 43,-227.25309730539735,0.47,1761.7087917555746,41745.68165888155
43,10,950038,CA-MADDPG-V2.2 Seed 43,-153.6150837087606,0.58,1341.659534543836,31045.841418886368
43,10,950039,CA-MADDPG-V2.2 Seed 43,-184.50553645688296,0.51,1477.2305299318666,31343.465603040877
43,10,950040,CA-MADDPG-V2.2 Seed 43,-153.3743315190127,0.57,1491.8750734063644,30923.038086520042
43,10,950041,CA-MADDPG-V2.2 Seed 43,-254.34662455504153,0.43,1864.6574332906698,42430.46818149648
43,10,950042,CA-MADDPG-V2.2 Seed 43,-210.8150978125928,0.5,1659.580282864979,37418.01223200181
43,10,950043,CA-MADDPG-V2.2 Seed 43,-165.89337963353952,0.55,1609.1311463765646,35212.819721047505
43,10,950044,CA-MADDPG-V2.2 Seed 43,-173.78832152070268,0.55,1428.2781893699516,32247.652849744245
43,10,950045,CA-MADDPG-V2.2 Seed 43,-208.4507628719839,0.5,1608.8203314545324,41012.954645619204
43,10,950046,CA-MADDPG-V2.2 Seed 43,-216.43417629960746,0.49,1616.6061649926146,37130.14205159811
43,10,950047,CA-MADDPG-V2.2 Seed 43,-237.39159272627248,0.46,1526.1461774793881,27974.32197001933
43,10,950048,CA-MADDPG-V2.2 Seed 43,-252.9063833934125,0.46,2008.6307747084452,48365.20476833077
43,10,950049,CA-MADDPG-V2.2 Seed 43,-229.55680125479046,0.45,1849.3374448943587,39363.19796702626
43,10,950050,CA-MADDPG-V2.2 Seed 43,-257.50773301602413,0.44,2109.7125947004056,49651.59593397726
43,10,950051,CA-MADDPG-V2.2 Seed 43,-263.8756225585327,0.44,2001.975563890676,43284.853491799375
43,10,950052,CA-MADDPG-V2.2 Seed 43,-192.69847260789888,0.56,1517.4635939304505,32561.471957234
