training_seed,saved_episode,method,evaluation_episodes,mean_reward,std_reward,mean_success_rate,std_success_rate,mean_latency_ms,mean_energy_mJ,success_rate_percent,success_std_percent
42,10,CA-MADDPG-V2.2 Seed 42,100,-217.10792368735574,35.154325332172654,0.49340000000000006,0.05073639539996726,1686.1975040632417,39576.27404806162,49.34,5.073639539996726
43,10,CA-MADDPG-V2.2 Seed 43,100,-212.59414116759083,35.46122923958651,0.4974,0.05100247567768183,1664.813458644121,38158.89359039625,49.74,5.100247567768183
44,10,CA-MADDPG-V2.2 Seed 44,100,-219.53348511452484,35.66171551596636,0.49,0.052474139855126285,1701.409130507588,38263.294705850145,49.0,5.247413985512629
