method,evaluation_episodes,mean_reward,std_reward,mean_success_rate,std_success_rate,mean_latency_ms,std_latency_ms,mean_energy_mJ,std_energy_mJ,success_rate_percent,success_std_percent
CA-MADDPG-V2 Seed 42 best,100,-217.8190848894809,35.3608657089808,0.4924,0.05130853395455435,1695.8028602452378,209.47007416334398,39577.31254252163,6509.0253212209,49.24,5.130853395455435
Latency heuristic,100,-206.420659238397,35.321413390420794,0.5083,0.05083256333246922,1613.159707882869,194.5491690211871,37113.17465864269,6127.817039281136,50.83,5.083256333246922
MADDPG Seed 42 baseline,100,-214.74611593096535,34.92155589563822,0.4963,0.05046560985243098,1667.4904592079274,202.6674028020292,39834.99847261741,6577.978973595965,49.63,5.046560985243098
MADDPG three-seed mean,100,-224.22167753336205,35.45992533728715,0.4843333333333333,0.05126568632952514,1785.9129327158773,291.62099633794406,43354.071118198495,6990.189943743102,48.43333333333333,5.126568632952514
Random allocation,100,-268.0981279639273,36.4969051248309,0.3849,0.05223287018030628,2601.0744069526527,383.2753249913625,86513.62640278206,16207.43913182014,38.49,5.223287018030628
