method,selected_uav,resource_level,test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ
Fixed uav_U2 resource 0.98,uav_U2,0.98,950030,-249.4060643758435,0.44,1771.4760510104907,47053.805886072594
Fixed uav_U2 resource 0.98,uav_U2,0.98,950031,-278.1966315767589,0.44,2003.3052280325248,51315.491020205205
Fixed uav_U2 resource 0.98,uav_U2,0.98,950032,-281.43048285361436,0.39,1803.0043059079949,39967.103846359605
Fixed uav_U2 resource 0.98,uav_U2,0.98,950033,-232.44446813989566,0.49,2034.6284436631931,50877.46652805098
Fixed uav_U2 resource 0.98,uav_U2,0.98,950034,-259.7899775975801,0.45,2049.7095420049773,56445.62359160341
Fixed uav_U2 resource 0.98,uav_U2,0.98,950035,-258.89502740937905,0.45,1993.7987376966435,51814.08086228348
Fixed uav_U2 resource 0.98,uav_U2,0.98,950036,-265.6895239708078,0.43,1951.3115033604338,48876.991399100785
Fixed uav_U2 resource 0.98,uav_U2,0.98,950037,-265.67941017345277,0.42,2044.3597182623737,53390.95136173622
Fixed uav_U2 resource 0.98,uav_U2,0.98,950038,-176.66350884632618,0.57,1560.3982934690655,39937.84858591654
Fixed uav_U2 resource 0.98,uav_U2,0.98,950039,-219.99678376103668,0.47,1701.640877242655,40523.33215043833
Fixed uav_U2 resource 0.98,uav_U2,0.98,950040,-188.39042987600794,0.53,1716.3836886094232,40124.55634282183
Fixed uav_U2 resource 0.98,uav_U2,0.98,950041,-298.6698893247762,0.36,2162.2597838382294,54733.11462891435
Fixed uav_U2 resource 0.98,uav_U2,0.98,950042,-232.22075191515975,0.49,1937.226244794598,48877.81413891535
Fixed uav_U2 resource 0.98,uav_U2,0.98,950043,-190.7170335287418,0.53,1858.8434882656607,45498.42749243842
Fixed uav_U2 resource 0.98,uav_U2,0.98,950044,-201.29851830685067,0.52,1648.99889325777,41313.48772847538
Fixed uav_U2 resource 0.98,uav_U2,0.98,950045,-248.84359574173538,0.44,1880.8736120702215,52147.243190091336
Fixed uav_U2 resource 0.98,uav_U2,0.98,950046,-249.62686739802405,0.46,1900.4816146467135,48723.98071087625
Fixed uav_U2 resource 0.98,uav_U2,0.98,950047,-282.8322778433116,0.39,1725.3070744140373,36187.19769149495
Fixed uav_U2 resource 0.98,uav_U2,0.98,950048,-300.7128879946483,0.39,2352.5342053255604,62472.10861710003
Fixed uav_U2 resource 0.98,uav_U2,0.98,950049,-278.1829258375426,0.38,2141.1641319548016,51462.972411161434
Fixed uav_U2 resource 0.98,uav_U2,0.98,950050,-276.25006869045035,0.44,2454.9492051433535,64073.08608344511
Fixed uav_U2 resource 0.98,uav_U2,0.98,950051,-310.9434708420917,0.36,2313.527288835435,56164.614672195465
Fixed uav_U2 resource 0.98,uav_U2,0.98,950052,-233.55944427603862,0.5,1757.8198983162763,42347.10844902673
Fixed uav_U2 resource 0.98,uav_U2,0.98,950053,-296.8505305618201,0.41,2281.541893548477,66197.38879097848
Fixed uav_U2 resource 0.98,uav_U2,0.98,950054,-263.87682564729624,0.43,2042.8624647460672,46861.93839148725
Fixed uav_U2 resource 0.98,uav_U2,0.98,950055,-267.9684717452378,0.43,2016.0190390816622,55446.78233393502
Fixed uav_U2 resource 0.98,uav_U2,0.98,950056,-261.048348708781,0.43,1965.9451172946738,49732.96938581835
Fixed uav_U2 resource 0.98,uav_U2,0.98,950057,-211.1123443079143,0.53,1825.310743813844,46223.60162103575
Fixed uav_U2 resource 0.98,uav_U2,0.98,950058,-310.8114598717094,0.39,2392.8494403166533,68434.35962834493
Fixed uav_U2 resource 0.98,uav_U2,0.98,950059,-231.68097092194054,0.47,2059.6303183716896,49015.84454786689
Fixed uav_U2 resource 0.98,uav_U2,0.98,950060,-235.1997267919551,0.48,1899.10300063684,46312.054839786135
Fixed uav_U2 resource 0.98,uav_U2,0.98,950061,-247.39077608575127,0.47,2020.1239841239376,53917.44573057248
Fixed uav_U2 resource 0.98,uav_U2,0.98,950062,-218.90683810083556,0.5,1771.4487194987491,45273.8391708384
Fixed uav_U2 resource 0.98,uav_U2,0.98,950063,-305.98996616507094,0.39,2530.0412549841,73669.95433109392
Fixed uav_U2 resource 0.98,uav_U2,0.98,950064,-282.271221404325,0.4,1958.1209548284728,49561.70253317474
Fixed uav_U2 resource 0.98,uav_U2,0.98,950065,-251.81841580433752,0.45,1819.7684466408589,44651.71973997197
Fixed uav_U2 resource 0.98,uav_U2,0.98,950066,-234.66637713817056,0.46,1883.9763394968502,50022.20039723237
Fixed uav_U2 resource 0.98,uav_U2,0.98,950067,-264.4935239359638,0.45,2155.123861003557,52583.30169903057
Fixed uav_U2 resource 0.98,uav_U2,0.98,950068,-289.1445909527219,0.39,2681.573529359196,70232.76683321141
Fixed uav_U2 resource 0.98,uav_U2,0.98,950069,-198.5219173388641,0.52,1750.1828846982824,45909.67062617595
Fixed uav_U2 resource 0.98,uav_U2,0.98,950070,-245.77440884246846,0.45,1942.9057157411537,47325.55035270987
Fixed uav_U2 resource 0.98,uav_U2,0.98,950071,-158.53307265010537,0.58,1487.8317080299641,36440.016949682504
Fixed uav_U2 resource 0.98,uav_U2,0.98,950072,-250.6823697858218,0.46,2077.8316488271857,54670.647026653794
Fixed uav_U2 resource 0.98,uav_U2,0.98,950073,-262.11773160984285,0.42,2074.992597084686,46708.36845967762
Fixed uav_U2 resource 0.98,uav_U2,0.98,950074,-169.0126115261791,0.6,1720.2620303282688,42876.54202162544
Fixed uav_U2 resource 0.98,uav_U2,0.98,950075,-217.53308112215095,0.51,1741.394719362254,45153.77259676603
Fixed uav_U2 resource 0.98,uav_U2,0.98,950076,-230.88820102991554,0.48,1679.4336782222827,41433.43039868117
Fixed uav_U2 resource 0.98,uav_U2,0.98,950077,-227.81402731408966,0.48,1864.909423144558,48753.93779948187
Fixed uav_U2 resource 0.98,uav_U2,0.98,950078,-280.09428371117576,0.41,2061.482234360864,53799.0758269625
Fixed uav_U2 resource 0.98,uav_U2,0.98,950079,-211.06308074245834,0.49,1543.3593083437709,36461.29182953819
Fixed uav_U2 resource 0.98,uav_U2,0.98,950080,-310.96192327507487,0.39,2285.0597899773657,66348.28112006097
Fixed uav_U2 resource 0.98,uav_U2,0.98,950081,-250.64689413169805,0.46,1953.9185781692847,52211.58138202899
Fixed uav_U2 resource 0.98,uav_U2,0.98,950082,-175.0241855099551,0.56,1725.7652025090229,42942.04087175735
Fixed uav_U2 resource 0.98,uav_U2,0.98,950083,-273.93908263457564,0.42,1783.8540642886085,45000.59008577264
Fixed uav_U2 resource 0.98,uav_U2,0.98,950084,-222.69300678424105,0.46,1958.5172587432637,51903.63547037887
Fixed uav_U2 resource 0.98,uav_U2,0.98,950085,-223.08423464031432,0.46,1726.67292648872,43903.26232916136
Fixed uav_U2 resource 0.98,uav_U2,0.98,950086,-211.8833749416604,0.48,1681.2038202276208,44341.37306990941
Fixed uav_U2 resource 0.98,uav_U2,0.98,950087,-226.49317802773237,0.49,1839.8070542843582,47195.143903438104
Fixed uav_U2 resource 0.98,uav_U2,0.98,950088,-285.43073889772654,0.41,1971.4858596787276,50349.790400296304
Fixed uav_U2 resource 0.98,uav_U2,0.98,950089,-177.86939103910257,0.56,1658.1572411403747,44265.01381901332
Fixed uav_U2 resource 0.98,uav_U2,0.98,950090,-269.954920140397,0.4,2411.4884195458108,62852.34155339924
Fixed uav_U2 resource 0.98,uav_U2,0.98,950091,-285.6895195841281,0.39,1977.599515235612,52111.86217778275
Fixed uav_U2 resource 0.98,uav_U2,0.98,950092,-249.68045870505367,0.44,1866.6768019359597,50987.70048858282
Fixed uav_U2 resource 0.98,uav_U2,0.98,950093,-260.07244051119983,0.45,2020.0089638502322,52267.06145404457
Fixed uav_U2 resource 0.98,uav_U2,0.98,950094,-223.4545689950072,0.47,1729.237842186229,44899.92664534202
Fixed uav_U2 resource 0.98,uav_U2,0.98,950095,-286.11496877041947,0.38,1746.502857961066,44115.168991364175
Fixed uav_U2 resource 0.98,uav_U2,0.98,950096,-305.54159178259084,0.36,1843.9426054947025,37823.13321362204
Fixed uav_U2 resource 0.98,uav_U2,0.98,950097,-273.9074819127757,0.41,2591.4247861950503,67611.48327966106
Fixed uav_U2 resource 0.98,uav_U2,0.98,950098,-227.27264495233052,0.49,1808.3863031956737,44195.799405747646
Fixed uav_U2 resource 0.98,uav_U2,0.98,950099,-240.30005107634796,0.48,2090.884503822325,50412.53035477289
