method,selected_uav,resource_level,test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ
Fixed uav_U3 resource 0.98,uav_U3,0.98,950052,-195.01715272880472,0.56,1509.5102787761318,30655.645366193392
Fixed uav_U3 resource 0.98,uav_U3,0.98,950053,-263.6231006224095,0.45,1893.0196401732348,47906.88051490373
Fixed uav_U3 resource 0.98,uav_U3,0.98,950054,-216.9641353974048,0.51,1768.1104611484004,33926.28088070981
Fixed uav_U3 resource 0.98,uav_U3,0.98,950055,-234.68619630193103,0.47,1690.6515049772966,40129.384125561715
Fixed uav_U3 resource 0.98,uav_U3,0.98,950056,-224.43791403808356,0.48,1674.247123441132,35999.13327337234
Fixed uav_U3 resource 0.98,uav_U3,0.98,950057,-172.68637310718762,0.59,1554.1991418609866,33459.13211095184
Fixed uav_U3 resource 0.98,uav_U3,0.98,950058,-273.331051782979,0.44,1991.219288984196,49526.716083642335
Fixed uav_U3 resource 0.98,uav_U3,0.98,950059,-195.53658815983948,0.52,1772.2017330484007,35483.18763048953
Fixed uav_U3 resource 0.98,uav_U3,0.98,950060,-195.2993721703481,0.54,1627.4867163734286,33524.08658456487
Fixed uav_U3 resource 0.98,uav_U3,0.98,950061,-205.68452026450373,0.52,1703.7844477989877,39024.5181963752
Fixed uav_U3 resource 0.98,uav_U3,0.98,950062,-190.46660738056258,0.53,1505.894795844248,32771.025577476365
Fixed uav_U3 resource 0.98,uav_U3,0.98,950063,-276.9408709315786,0.41,2097.615876808895,53313.65391006175
Fixed uav_U3 resource 0.98,uav_U3,0.98,950064,-235.30570829371348,0.47,1667.4045240859953,35874.8329503075
Fixed uav_U3 resource 0.98,uav_U3,0.98,950065,-223.13929526124272,0.47,1557.8822796215566,32321.83052963302
Fixed uav_U3 resource 0.98,uav_U3,0.98,950066,-193.7893472044219,0.51,1590.5046931635982,36205.97174290505
Fixed uav_U3 resource 0.98,uav_U3,0.98,950067,-241.2156825109575,0.47,1846.731220276995,38064.12285719126
Fixed uav_U3 resource 0.98,uav_U3,0.98,950068,-251.2374176086143,0.44,2269.4896183687933,50834.010283899384
Fixed uav_U3 resource 0.98,uav_U3,0.98,950069,-159.7745154348821,0.57,1480.8593391394375,33229.67275382377
Fixed uav_U3 resource 0.98,uav_U3,0.98,950070,-209.946646497778,0.5,1665.3627953087541,34258.30346204001
Fixed uav_U3 resource 0.98,uav_U3,0.98,950071,-130.48848727907938,0.61,1274.1275867500576,26378.216803181538
Fixed uav_U3 resource 0.98,uav_U3,0.98,950072,-217.12495485218346,0.5,1757.1176729398703,39571.5461137649
Fixed uav_U3 resource 0.98,uav_U3,0.98,950073,-222.65003405327087,0.47,1801.1830556080715,33816.30128601769
Fixed uav_U3 resource 0.98,uav_U3,0.98,950074,-151.2639373767572,0.61,1468.7999847451306,31036.99999577517
Fixed uav_U3 resource 0.98,uav_U3,0.98,950075,-175.46956373407943,0.57,1476.5277738923046,32683.832168728393
Fixed uav_U3 resource 0.98,uav_U3,0.98,950076,-202.85029416492307,0.5,1436.4450930507842,29992.844383014926
Fixed uav_U3 resource 0.98,uav_U3,0.98,950077,-188.8652431723908,0.53,1578.9053271742234,35288.607490510854
Fixed uav_U3 resource 0.98,uav_U3,0.98,950078,-244.83354749532594,0.45,1745.887680380329,38940.83904832253
Fixed uav_U3 resource 0.98,uav_U3,0.98,950079,-189.41023816671364,0.5,1329.5892439011054,26395.68414053153
Fixed uav_U3 resource 0.98,uav_U3,0.98,950080,-280.2626748986607,0.42,1895.6447547184548,48016.030073293725
Fixed uav_U3 resource 0.98,uav_U3,0.98,950081,-224.77674871415198,0.48,1647.6096124022195,37790.174075677525
Fixed uav_U3 resource 0.98,uav_U3,0.98,950082,-140.59157549876826,0.6,1473.921028166605,31084.45623754411
Fixed uav_U3 resource 0.98,uav_U3,0.98,950083,-236.19345960954502,0.47,1519.9265687857865,32573.994359595163
Fixed uav_U3 resource 0.98,uav_U3,0.98,950084,-173.74640436333112,0.54,1653.999426097582,37567.53704251841
Fixed uav_U3 resource 0.98,uav_U3,0.98,950085,-176.7961610431004,0.53,1469.164063775145,31779.276332083336
Fixed uav_U3 resource 0.98,uav_U3,0.98,950086,-170.5319786916382,0.54,1421.086853766364,32094.594926150854
Fixed uav_U3 resource 0.98,uav_U3,0.98,950087,-198.28513129149482,0.52,1562.9680442232875,34161.37806772539
Fixed uav_U3 resource 0.98,uav_U3,0.98,950088,-254.02750604945703,0.44,1676.1598865748063,36445.63263584446
Fixed uav_U3 resource 0.98,uav_U3,0.98,950089,-137.02553920875275,0.62,1398.4703959455674,32039.166829095433
Fixed uav_U3 resource 0.98,uav_U3,0.98,950090,-224.67073211454735,0.47,2042.723936791188,45492.68268654393
Fixed uav_U3 resource 0.98,uav_U3,0.98,950091,-253.5909847522463,0.42,1671.8633571415724,37718.12205389753
Fixed uav_U3 resource 0.98,uav_U3,0.98,950092,-199.9060121926939,0.52,1567.501760453551,36902.86014885413
Fixed uav_U3 resource 0.98,uav_U3,0.98,950093,-223.6566664676966,0.5,1713.4006477409278,37832.088988467374
Fixed uav_U3 resource 0.98,uav_U3,0.98,950094,-182.44873137649992,0.53,1465.8333744221889,32499.13955728183
Fixed uav_U3 resource 0.98,uav_U3,0.98,950095,-244.15245654744126,0.43,1487.7675880420345,31932.916461974055
Fixed uav_U3 resource 0.98,uav_U3,0.98,950096,-256.488049466801,0.44,1622.3345215289205,27388.025310835634
Fixed uav_U3 resource 0.98,uav_U3,0.98,950097,-245.78222342374934,0.44,2194.724806859091,48936.874921268594
Fixed uav_U3 resource 0.98,uav_U3,0.98,950098,-188.24658613001745,0.55,1549.1870954386313,31992.290088940324
Fixed uav_U3 resource 0.98,uav_U3,0.98,950099,-224.60164471872048,0.48,1795.237396714213,36493.5068132473
Fixed uav_U1 resource 0.98,uav_U1,0.98,950000,-234.3418386372973,0.46,1526.2795451221828,33316.665657018835
Fixed uav_U1 resource 0.98,uav_U1,0.98,950001,-262.4082739511624,0.41,1600.0385617453182,31276.539769007053
Fixed uav_U1 resource 0.98,uav_U1,0.98,950002,-189.73301715568806,0.5,1341.7913125236114,27380.537919090748
Fixed uav_U1 resource 0.98,uav_U1,0.98,950003,-207.52630232488374,0.52,1677.6340794440682,32815.725778265034
Fixed uav_U1 resource 0.98,uav_U1,0.98,950004,-213.9315316862267,0.51,1769.7066026527514,41433.04897733675
Fixed uav_U1 resource 0.98,uav_U1,0.98,950005,-256.9214769762387,0.46,1810.0011063929508,45088.39057207115
