method,selected_uav,resource_level,evaluation_episodes,mean_reward,std_reward,mean_success_rate,std_success_rate,mean_latency_ms,std_latency_ms,mean_energy_mJ,std_energy_mJ,success_rate_percent,success_std_percent
Fixed uav_U1 resource 0.98,uav_U1,0.98,100,-219.53902832996184,35.66011270822007,0.49,0.052474139855126285,1701.5206931193743,206.80345030354468,38263.307027389186,6317.827760119894,49.0,5.247413985512629
Fixed uav_U2 resource 0.98,uav_U2,0.98,100,-247.56662904352416,36.88515431014803,0.455,0.054578272955342566,1934.9692725361915,242.35262580374365,49250.25658441745,8134.950918734193,45.5,5.457827295534257
Fixed uav_U3 resource 0.98,uav_U3,0.98,100,-211.43546278521313,35.212457495299795,0.5014,0.05063276377679544,1646.081302537102,198.51955636196632,35649.26445540406,5885.491967031254,50.13999999999999,5.063276377679544
