method,evaluation_episodes,mean_reward,std_reward,mean_success_rate,std_success_rate,mean_latency_ms,mean_energy_mJ,success_rate_percent,success_std_percent
Fixed uav_U1 resource 0.98,100,-219.53902832996184,35.66011270822007,0.49,0.052474139855126285,1701.5206931193743,38263.307027389186,49.0,5.247413985512629
Fixed uav_U2 resource 0.98,100,-247.56662904352416,36.88515431014803,0.455,0.054578272955342566,1934.9692725361915,49250.25658441745,45.5,5.457827295534257
Fixed uav_U3 resource 0.98,100,-211.43546278521313,35.212457495299795,0.5014,0.05063276377679544,1646.081302537102,35649.26445540406,50.13999999999999,5.063276377679544
Latency heuristic,100,-206.420659238397,35.321413390420794,0.5083,0.05083256333246922,1613.159707882869,37113.17465864269,50.83,5.083256333246922
MADDPG three-seed mean,100,-224.22167753336205,35.45992533728715,0.4843333333333333,0.05126568632952514,1785.9129327158773,43354.071118198495,48.43333333333333,5.126568632952514
Random allocation,100,-268.0981279639273,36.4969051248309,0.3849,0.05223287018030628,2601.0744069526527,86513.62640278206,38.49,5.223287018030628
