training_seed,saved_episode,evaluation_episodes,mean_reward,std_reward,mean_success_rate,std_success_rate,mean_latency_ms,std_latency_ms,mean_energy_mJ,std_energy_mJ,success_rate_percent,success_std_percent
42,30,100,-214.74611593096535,34.921555895638214,0.4963,0.05046560985243098,1667.4904592079274,202.6674028020292,39834.99847261741,6577.978973595965,49.63,5.046560985243098
43,30,100,-214.75259179359662,34.921796878525356,0.4963,0.05046560985243098,1667.57470337945,202.6792044898364,39834.9643243181,6577.973986099469,49.63,5.046560985243098
44,30,100,-243.1663248755242,37.05126623086259,0.4604,0.05499164307493283,2022.6736355602538,553.1249449514447,50392.25055765998,7991.685411080726,46.04,5.499164307493283
