test_seed,method,reward,success_rate,mean_latency_ms,mean_energy_mJ
950000,MADDPG three-seed mean,-242.3878095610861,0.4466666666666667,1562.1787873657304,38003.166776905855
950001,MADDPG three-seed mean,-260.46046946440265,0.42,1630.3629249970909,35673.07804502184
950002,MADDPG three-seed mean,-191.99840985684898,0.5,1369.5254824585588,31230.42121351865
950003,MADDPG three-seed mean,-210.52093366050414,0.5166666666666667,1727.580238145634,37728.74954875371
950004,MADDPG three-seed mean,-221.71571184889126,0.49666666666666665,1816.947497484213,47263.42208976508
950005,MADDPG three-seed mean,-263.18648303474424,0.45,1864.6530242805386,51458.71686945353
950006,MADDPG three-seed mean,-229.97244514063115,0.49666666666666665,2337.6007399504447,51902.49527796207
950007,MADDPG three-seed mean,-140.18889081873178,0.5966666666666667,1405.202113483105,34800.47525484421
950008,MADDPG three-seed mean,-268.1227133167595,0.41333333333333333,2756.0748088115633,49119.49043448255
950009,MADDPG three-seed mean,-190.8546855221559,0.5366666666666667,1757.9194710348813,45892.09273282243
950010,MADDPG three-seed mean,-188.88881339536252,0.5533333333333333,1577.4908893085722,38188.603231649206
950011,MADDPG three-seed mean,-190.14855171488628,0.54,1735.394885412331,45168.01671279528
950012,MADDPG three-seed mean,-248.037343097846,0.44,1762.3982073610462,42808.62698088207
950013,MADDPG three-seed mean,-219.5348817385044,0.47333333333333333,1680.649417302573,38165.34152434783
950014,MADDPG three-seed mean,-148.70252449383682,0.6133333333333333,1614.0540019587,37580.28823504611
950015,MADDPG three-seed mean,-224.46632222977163,0.51,1743.0600168471174,45909.181916808615
950016,MADDPG three-seed mean,-247.8859309057598,0.44,1624.7196159578807,35601.629463817015
950017,MADDPG three-seed mean,-262.6830043630495,0.42333333333333334,2058.8796896783983,50523.972684136534
950018,MADDPG three-seed mean,-208.81293344884364,0.49666666666666665,1477.4546042830555,34736.17888413018
950019,MADDPG three-seed mean,-216.679439095275,0.5066666666666667,1802.8898295101214,47304.924252468765
950020,MADDPG three-seed mean,-189.25287441282111,0.5033333333333333,1351.0936660339462,33215.64125821171
950021,MADDPG three-seed mean,-195.75856700760997,0.5166666666666667,1519.323135552818,36089.909681593235
950022,MADDPG three-seed mean,-196.18917042607222,0.5233333333333333,1552.0827305604125,33905.897085844976
950023,MADDPG three-seed mean,-214.52882026732945,0.48,2613.0509957035233,51975.543347373175
950024,MADDPG three-seed mean,-199.68214227011345,0.5233333333333333,1628.3928139078423,37517.97154569757
950025,MADDPG three-seed mean,-251.47739650652352,0.44333333333333336,1805.0601789945533,46115.61803754358
950026,MADDPG three-seed mean,-268.03920218759947,0.44,1929.5997103190145,51573.349945670496
950027,MADDPG three-seed mean,-253.846541070689,0.44,1675.7738425192517,37147.86955289493
950028,MADDPG three-seed mean,-254.5251103849995,0.4266666666666667,1929.4374050991219,48804.229461228475
950029,MADDPG three-seed mean,-276.8170941130135,0.4266666666666667,1817.4335643639395,46010.92220327299
950030,MADDPG three-seed mean,-225.44005976689996,0.47,1590.6848147596272,41703.633710760834
950031,MADDPG three-seed mean,-255.65702778902119,0.4666666666666666,1807.2389776129523,45520.39423998274
950032,MADDPG three-seed mean,-256.33366096165554,0.42333333333333334,1643.2952876944698,35422.281209121786
950033,MADDPG three-seed mean,-216.04634208832195,0.5033333333333333,1836.4679662104343,45087.9224354336
950034,MADDPG three-seed mean,-236.51430411269462,0.48,1830.7169152937474,49364.58553021242
950035,MADDPG three-seed mean,-232.81080380266732,0.48,1793.488399208091,45918.43401186818
950036,MADDPG three-seed mean,-238.76826023567864,0.47,1764.4505192244033,43391.5034790364
950037,MADDPG three-seed mean,-237.72650175935863,0.45999999999999996,1830.3301444700267,46782.659123944235
950038,MADDPG three-seed mean,-161.74314702372538,0.58,1405.5370015415313,35393.45430185523
950039,MADDPG three-seed mean,-197.0960948293241,0.49666666666666665,1555.9149583250958,36123.62720132427
950040,MADDPG three-seed mean,-165.91191860807115,0.5566666666666666,1572.8996621651233,35860.24295547268
950041,MADDPG three-seed mean,-268.2863647031318,0.4066666666666667,1949.5673336560624,48505.81751001813
950042,MADDPG three-seed mean,-218.57853205235577,0.49666666666666665,1747.1627236610884,43316.51125992153
950043,MADDPG three-seed mean,-171.93795968827362,0.55,1770.0387176390043,39468.16678979407
950044,MADDPG three-seed mean,-182.34114228112276,0.54,1488.1462928386936,36612.798211513174
950045,MADDPG three-seed mean,-223.7929741019649,0.4766666666666666,1679.8440536859969,45488.681948463745
950046,MADDPG three-seed mean,-226.48572615965972,0.48333333333333334,1711.6148364277026,43180.12746372965
950047,MADDPG three-seed mean,-251.88765461535354,0.4366666666666667,1578.8710225312298,32072.669103538432
950048,MADDPG three-seed mean,-271.53456645482447,0.43,2112.014844541069,55363.45556192258
950049,MADDPG three-seed mean,-248.66029571770358,0.42333333333333334,1940.9403718809017,45645.34824556435
950050,MADDPG three-seed mean,-262.64943881444447,0.4466666666666667,2226.995362461956,56064.18553589665
950051,MADDPG three-seed mean,-274.48601708345495,0.42333333333333334,2093.424713912656,49774.773841510956
950052,MADDPG three-seed mean,-208.00011337586946,0.54,1595.254432593736,37619.02991001203
950053,MADDPG three-seed mean,-273.56098839188144,0.44,2034.6248401588284,58743.00147036667
950054,MADDPG three-seed mean,-232.52461091236785,0.48333333333333334,1856.999781924743,41531.77575859028
950055,MADDPG three-seed mean,-250.23854503870362,0.4466666666666667,2308.9365997514587,47877.49945097504
950056,MADDPG three-seed mean,-233.79038690604781,0.47,1764.7861177323173,43545.5650569715
950057,MADDPG three-seed mean,-185.51938756636116,0.57,1665.2061121231582,39377.56319914912
950058,MADDPG three-seed mean,-284.7021598972787,0.4266666666666667,2136.782283015833,60726.10834773399
950059,MADDPG three-seed mean,-206.30659819649387,0.5066666666666667,1867.3882512014095,43451.94768729389
950060,MADDPG three-seed mean,-210.5305126353633,0.5166666666666667,1753.1689898498291,41854.11410639149
950061,MADDPG three-seed mean,-222.36577602076662,0.49666666666666665,1812.7501875367598,47781.86211561264
950062,MADDPG three-seed mean,-200.0550093256525,0.52,1595.87683021517,40122.124617340276
950063,MADDPG three-seed mean,-287.0017367260968,0.4033333333333333,3056.429270469563,64710.53812307719
950064,MADDPG three-seed mean,-251.18012636050378,0.4466666666666666,2290.3479081542337,42578.8191376553
950065,MADDPG three-seed mean,-233.00239872496923,0.4633333333333333,1645.1793935014045,39570.66557362384
950066,MADDPG three-seed mean,-207.92389463802672,0.49333333333333335,1708.155878585619,44651.61076744731
950067,MADDPG three-seed mean,-249.05927746131943,0.4633333333333333,1949.2937618602784,46599.858742900156
950068,MADDPG three-seed mean,-265.37612501078746,0.42,2445.32441705519,59357.247801484635
950069,MADDPG three-seed mean,-175.62716121793224,0.5466666666666667,1573.0358244275294,40684.80758212384
950070,MADDPG three-seed mean,-221.6744655891098,0.48333333333333334,1758.6116983251286,40487.115995406086
950071,MADDPG three-seed mean,-141.28787498439632,0.5966666666666667,1345.2815394114264,32294.0265744262
950072,MADDPG three-seed mean,-228.4556285338239,0.48666666666666664,1867.0105901986096,48449.03571730725
950073,MADDPG three-seed mean,-236.131438133026,0.4533333333333333,1890.5166665671468,41428.7006247181
950074,MADDPG three-seed mean,-157.11026943936153,0.6066666666666666,1553.1516396257123,37997.90698684784
950075,MADDPG three-seed mean,-188.24605083722204,0.5533333333333333,1590.9878973679322,38239.57573513906
950076,MADDPG three-seed mean,-212.41184880872854,0.49333333333333335,1517.624568180969,36718.467110137826
950077,MADDPG three-seed mean,-203.6077894958577,0.51,1676.6651701053058,43205.56841257228
950078,MADDPG three-seed mean,-254.0038552385331,0.44333333333333336,1845.9608960981866,47134.54034425137
950079,MADDPG three-seed mean,-199.20399501458164,0.49,1399.65123330187,32314.055690681485
950080,MADDPG three-seed mean,-289.3869660155304,0.41333333333333333,2033.841376962495,58795.412832994865
950081,MADDPG three-seed mean,-233.5572629854596,0.47333333333333333,1753.179602185137,46269.79293272351
950082,MADDPG three-seed mean,-152.3086653092699,0.5866666666666667,1573.2281854548482,38363.13698030214
950083,MADDPG three-seed mean,-250.03366530055462,0.45,1608.866345981941,39880.78924535862
950084,MADDPG three-seed mean,-188.65106570286957,0.5166666666666667,1758.6501679768628,45996.38929926647
950085,MADDPG three-seed mean,-196.26937576985316,0.49666666666666665,1556.2546060393943,38907.12987658114
950086,MADDPG three-seed mean,-188.2497485535804,0.51,1510.3142618820273,39294.77683268202
950087,MADDPG three-seed mean,-207.86751995213163,0.51,1656.892135527367,41824.971312189184
950088,MADDPG three-seed mean,-263.303091077524,0.43333333333333335,1820.2768536976134,45969.7854680814
950089,MADDPG three-seed mean,-149.437379605621,0.6033333333333334,1520.3108175071304,37385.42124035977
950090,MADDPG three-seed mean,-239.76284871487334,0.4466666666666667,2195.2585440261446,54478.18808024788
950091,MADDPG three-seed mean,-263.84831766476157,0.41333333333333333,1793.9055813434736,45554.77262399483
950092,MADDPG three-seed mean,-215.02149226445013,0.49666666666666665,1671.4614114583067,45184.18373004192
950093,MADDPG three-seed mean,-235.95220045328173,0.48333333333333334,1820.2474508437379,46372.87292850594
950094,MADDPG three-seed mean,-202.6114436130481,0.49333333333333335,1555.6232259325218,39791.20730574147
950095,MADDPG three-seed mean,-261.1111194968203,0.4066666666666667,1575.000979484431,39095.98131908563
950096,MADDPG three-seed mean,-275.26498235028623,0.4066666666666667,1690.0905120569241,33522.997346056676
950097,MADDPG three-seed mean,-257.890454341815,0.42333333333333334,2355.618252065828,57194.76334440761
950098,MADDPG three-seed mean,-203.14273525453987,0.5266666666666667,1670.7818255159546,39981.18811324835
950099,MADDPG three-seed mean,-229.54538642450132,0.48,1910.559147878386,45013.12044791514
950000,Random allocation,-303.8512160593375,0.34,2499.588055735221,84874.81585880416
950000,Latency heuristic,-224.53181731420614,0.47,1448.4690030082168,32315.27960167025
950001,Random allocation,-325.6884703409923,0.28,2377.3151136933257,73023.57661533754
950001,Latency heuristic,-223.48679362465705,0.49,1523.6777819603003,30336.657287267855
