test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ,training_seed,saved_episode
950091,-255.21967660580253,0.42,1696.0477569411978,42147.96087684748,43,30
950092,-204.99951549639775,0.51,1592.5241704347584,41237.74892862561,43,30
950093,-224.94197822907142,0.5,1736.8560714234754,42274.526195764745,43,30
950094,-195.4273240492535,0.5,1486.112800108619,36315.5843795709,43,30
950095,-249.97112851936788,0.42,1506.7161968871812,35681.964101298574,43,30
950096,-261.42228715709587,0.43,1631.6114240664258,30598.700834898,43,30
950097,-250.962191471666,0.43,2225.6174489409086,54684.181659235044,43,30
950098,-193.26816972924186,0.54,1567.0361879456482,35747.78584637525,43,30
950099,-225.39237465337365,0.48,1815.084976932944,40776.84173708397,43,30
950000,-263.0077347656377,0.42,1694.9714026325012,44639.86413575337,44,30
950001,-286.2525117654747,0.38,1754.9501217789273,41899.63968854477,44,30
950002,-200.91306654248874,0.5,1478.6152243357542,36682.66377803275,44,30
950003,-220.919547918163,0.51,1894.4368159613598,44861.89928020047,44,30
950004,-241.19717501100666,0.47,1982.1629915478102,55519.44619611285,44,30
950005,-280.54807005098843,0.43,2046.313517715961,60492.74556319126,44,30
950006,-250.34577614035445,0.47,3356.3904822031955,58962.733376986354,44,30
950007,-160.05659999373785,0.57,1526.8329710991177,40877.14463264971,44,30
950008,-281.4124695943825,0.4,4459.257349092034,54029.41671985954,44,30
950009,-202.7989331673321,0.53,1918.3408157842018,53909.45714844836,44,30
950010,-211.49442670944683,0.52,1762.5242941850595,41643.57800886444,44,30
950011,-216.0070125723659,0.5,2008.615788681974,49511.025253585765,44,30
950012,-266.2127538798795,0.42,1898.7885584971011,49266.15698275775,44,30
950013,-234.77516535619296,0.46,1917.3643031894678,42702.292903665584,44,30
