method,evaluation_episodes,mean_reward,std_reward,mean_success_rate,std_success_rate,mean_latency_ms,std_latency_ms,mean_energy_mJ,std_energy_mJ,success_rate_percent,success_std_percent
Latency heuristic,100,-206.420659238397,35.321413390420794,0.5083,0.05083256333246922,1613.159707882869,194.5491690211871,37113.17465864269,6127.817039281136,50.83,5.083256333246922
MADDPG three-seed mean,100,-224.22167753336205,35.45992533728715,0.4843333333333334,0.051265686329525134,1785.9129327158773,291.62099633794406,43354.071118198495,6990.1899437431,48.43333333333334,5.126568632952513
Random allocation,100,-268.0981279639273,36.496905124830896,0.3849,0.05223287018030628,2601.0744069526527,383.2753249913624,86513.62640278206,16207.43913182014,38.49,5.223287018030628
