method,mean_reward,std_reward,mean_success_rate,std_success_rate,mean_latency_ms,std_latency_ms,mean_energy_mJ,std_energy_mJ,success_rate_percent
Latency heuristic,-210.62190491343623,30.892016175798215,0.49920000000000003,0.04980943275963634,1614.036002402492,182.18473801178672,36810.122323354175,6055.27706900793,49.92
MADDPG,-218.1145428495793,31.453001556480842,0.4894,0.05064522460716513,1667.9193362642254,190.16301945235202,39509.59585602402,6500.209658797423,48.94
Random allocation,-269.3576650582869,33.83932727110735,0.38539999999999996,0.05047569631384344,2591.8461407757895,374.2678597976237,85705.34704347854,16452.220319031432,38.54
