test_seed,step,v2_selected_agent,v21_selected_agent,same_selected_agent,v2_selected_cpu,v21_selected_cpu,v2_selected_bandwidth,v21_selected_bandwidth,v2_selection_probability,v21_selection_probability,v2_environment_success,v2_environment_reward,v2_environment_latency_ms,v2_environment_energy_mJ
950000,0,uav_U1,uav_U2,False,0.9977278709411621,0.9842138290405273,0.9850971102714539,0.8754327893257141,0.9960096478462219,0.9596930742263794,1,0.7486915137042356,199.82360990059098,3541.0276290736106
950000,1,uav_U1,uav_U2,False,0.9962679743766785,0.9816934466362,0.984498143196106,0.8701132535934448,0.9976298809051514,0.9638596177101135,1,1.2489078856023001,468.8686561637717,6420.379553832717
950000,2,uav_U1,uav_U2,False,0.9971239566802979,0.9777870774269104,0.9735658168792725,0.8450714945793152,0.9989423155784607,0.9705552458763123,1,0.6284721518290657,1282.7541213293669,29829.626367525798
950000,3,uav_U1,uav_U2,False,0.9964799880981445,0.9809643030166626,0.9765031337738037,0.8494978547096252,0.9982383847236633,0.962680459022522,1,0.573840222672664,1052.0133954819323,17086.54064072798
950000,4,uav_U1,uav_U2,False,0.9968352317810059,0.9718905091285706,0.9651811122894287,0.852208137512207,0.9989309906959534,0.9569810628890991,0,-6.498989310077542,4970.629664260716,87689.5996957498
950000,5,uav_U1,uav_U2,False,0.9974378347396851,0.9881522059440613,0.9869590997695923,0.8752267360687256,0.9966177344322205,0.9638988971710205,0,-3.6967440660285993,1157.163036641199,46347.920377300296
950000,6,uav_U1,uav_U2,False,0.9963158965110779,0.9829150438308716,0.9727938175201416,0.8681430220603943,0.9983831644058228,0.962913453578949,0,-7.500091270305012,5163.547428509367,212759.45697331993
950000,7,uav_U1,uav_U2,False,0.9968785047531128,0.9811052083969116,0.9752084016799927,0.8616113662719727,0.9983136653900146,0.9519262313842773,0,-7.500091999104884,3191.572554233224,36061.40587102434
950000,8,uav_U1,uav_U2,False,0.9968361854553223,0.9824371337890625,0.9698514938354492,0.8756080269813538,0.9981911778450012,0.9583697319030762,0,-7.500091372370281,4713.236305148443,194282.30288319872
950000,9,uav_U1,uav_U2,False,0.9970017671585083,0.9796898365020752,0.9757059812545776,0.8549753427505493,0.9986498355865479,0.970302939414978,1,0.5731281919694096,1011.1170413177841,18243.024673499585
950000,10,uav_U1,uav_U2,False,0.9975674152374268,0.9812605381011963,0.9805608987808228,0.8605273962020874,0.9979514479637146,0.9677061438560486,1,1.303629396611934,115.80442938157431,2126.82141045997
950000,11,uav_U1,uav_U2,False,0.9968588948249817,0.9762745499610901,0.9666934609413147,0.851965069770813,0.9988304972648621,0.949431836605072,0,-5.389485999200956,5625.650572614472,91301.15665215703
950000,12,uav_U1,uav_U2,False,0.9975413084030151,0.9847260117530823,0.9841234683990479,0.8609461784362793,0.9980523586273193,0.959991455078125,1,1.3303420921296703,290.46693455841626,6874.150931875444
950000,13,uav_U1,uav_U2,False,0.9953442215919495,0.9783521294593811,0.9724560976028442,0.8399010896682739,0.9983755946159363,0.9677822589874268,0,-4.64064543260943,2230.457390445884,48733.4830690812
950000,14,uav_U1,uav_U2,False,0.9964549541473389,0.9748910069465637,0.9687967300415039,0.8383474349975586,0.9985039234161377,0.9633669257164001,0,-7.500091435438712,2125.3654533432764,60028.865085087666
950000,15,uav_U1,uav_U2,False,0.9972953796386719,0.9845070838928223,0.9884458780288696,0.8641874194145203,0.9981014728546143,0.9648674726486206,1,1.365317641301126,240.37927136596753,7555.224435629236
950000,16,uav_U1,uav_U2,False,0.9967532753944397,0.9777042269706726,0.9861786961555481,0.8790249824523926,0.9983866810798645,0.9513022303581238,0,-6.4070702839252585,922.0466262394445,3877.71960247236
950000,17,uav_U1,uav_U2,False,0.9973587989807129,0.9826705455780029,0.9849011898040771,0.8767621517181396,0.9981523752212524,0.962548553943634,1,1.3190944438295649,343.1847675389006,7044.742261114801
950000,18,uav_U1,uav_U2,False,0.9966469407081604,0.9806534051895142,0.9843002557754517,0.8857986927032471,0.9976625442504883,0.9599039554595947,0,-4.716718779528241,751.4366194739548,16954.595938696297
950000,19,uav_U1,uav_U2,False,0.997184157371521,0.9842668175697327,0.9868783354759216,0.8764330148696899,0.9977467656135559,0.9594061970710754,1,1.497041272605168,29.541471373415188,736.5422758905822
950000,20,uav_U1,uav_U2,False,0.9971297383308411,0.9735599756240845,0.9755522608757019,0.8401818871498108,0.9989197850227356,0.9562162756919861,0,-3.814119863698828,1688.526362305391,44784.26531202645
950000,21,uav_U1,uav_U2,False,0.9971740245819092,0.984372615814209,0.9836249947547913,0.8691462278366089,0.9968557357788086,0.9568244218826294,1,1.224916595783602,461.16122735412137,11463.823898350713
950000,22,uav_U1,uav_U2,False,0.9978349804878235,0.9845823049545288,0.9854139089584351,0.8783883452415466,0.9986990094184875,0.9588251113891602,1,1.1817330066615543,465.49041929668573,10958.410908788526
