selected_uav,resource_level,evaluation_episodes,mean_reward,std_reward,success_rate,success_std,mean_latency_ms,mean_energy_mJ,success_rate_percent,success_std_percent
uav_U3,0.98,30,-209.35568450576375,34.88726797677415,0.5046666666666667,0.051039763628609874,1612.7969065789848,34679.29413276426,50.46666666666667,5.103976362860988
uav_U1,0.98,30,-217.55508533127735,35.987006133779914,0.49300000000000005,0.05459253454077954,1666.723674392735,37222.101198121796,49.300000000000004,5.459253454077953
uav_U3,0.9,30,-231.80811798604955,36.585232170193464,0.473,0.05584152453209856,1756.1567123101152,29272.265779208283,47.3,5.584152453209857
uav_U1,0.9,30,-239.59877441875358,37.11140587225451,0.46266666666666667,0.05662540756241138,1814.8769732946116,31416.862471519562,46.266666666666666,5.662540756241138
uav_U2,0.98,30,-245.6981011314369,36.440287111064194,0.45733333333333337,0.0545788473193841,1893.8101990892608,47909.64523915174,45.733333333333334,5.45788473193841
uav_U2,0.9,30,-266.9363666670161,36.11108452922093,0.4296666666666667,0.053593832206464895,2062.1489782161125,40430.7205934862,42.96666666666667,5.35938322064649
uav_U3,0.75,30,-274.8082568399473,36.971416873620164,0.4196666666666667,0.05561464290766532,2107.38799894542,20381.335156348592,41.96666666666667,5.561464290766532
uav_U1,0.75,30,-282.7124264219988,38.048208925207895,0.4093333333333333,0.059302458711215346,2177.8523102601484,21870.63179187657,40.93333333333333,5.930245871121534
uav_U5,0.98,30,-296.70285378255187,37.69401922469892,0.3943333333333333,0.057934763153129336,2384.66541417482,71010.16412390753,39.43333333333333,5.793476315312933
uav_U7,0.98,30,-296.70406824657516,37.69407668453702,0.3943333333333333,0.057934763153129336,2384.6840129000484,71010.16623519865,39.43333333333333,5.793476315312933
uav_U4,0.98,30,-299.56667949866466,37.410612656123,0.39133333333333337,0.0567956611585496,2419.3731156818476,72640.3608670417,39.13333333333334,5.67956611585496
uav_U2,0.75,30,-311.39911969980324,37.965652538473975,0.37466666666666665,0.05727931162496531,2474.5787083053847,28130.254564884563,37.46666666666666,5.727931162496531
uav_U5,0.9,30,-318.2143943616259,37.91819289773332,0.36733333333333335,0.05705008890157983,2596.6357925375864,59913.66308450657,36.733333333333334,5.705008890157983
uav_U7,0.9,30,-318.2156547372494,37.91826385046103,0.36733333333333335,0.05705008890157983,2596.6560444837664,59913.66538346813,36.733333333333334,5.705008890157983
uav_U4,0.9,30,-320.85987144832376,37.79839627916942,0.365,0.05667511769301622,2634.428624804182,61288.570443129465,36.5,5.667511769301622
uav_U10,0.98,30,-323.282670983367,37.527704724428986,0.36300000000000004,0.056087985067797864,2690.1983238092,85384.47677444665,36.300000000000004,5.608798506779786
uav_U10,0.9,30,-344.44124558166914,36.62716945628433,0.33766666666666667,0.053670985761803174,2929.3271983167556,72036.93924623399,33.766666666666666,5.367098576180317
uav_U9,0.98,30,-347.0886884759572,37.75344340097453,0.3333333333333333,0.05707426096208181,2973.262535099545,98710.64086327743,33.33333333333333,5.707426096208181
uav_U5,0.75,30,-362.57261106680676,35.27141352270933,0.3156666666666667,0.05144017840193587,3115.9628685002754,41660.07503512523,31.56666666666667,5.1440178401935865
uav_U7,0.75,30,-362.5739390231504,35.271438981414065,0.3156666666666667,0.05144017840193587,3115.987170835047,41660.077793879005,31.56666666666667,5.1440178401935865
uav_U4,0.75,30,-366.73254208512975,35.806789119780284,0.3096666666666667,0.051760944758561446,3161.3142660187877,42614.876034140754,30.96666666666667,5.176094475856145
uav_U9,0.9,30,-369.445578806461,36.00412135378553,0.30566666666666664,0.05237025566255067,3237.552686997008,83276.2030037739,30.566666666666663,5.237025566255067
uav_U10,0.75,30,-389.47844464803643,32.66030221832422,0.2853333333333333,0.04439115579305947,3515.192544859303,50079.02251103686,28.53333333333333,4.4391155793059465
uav_U8,0.98,30,-408.3293113244111,32.189885137634604,0.26466666666666666,0.04207819759262128,3925.782453676939,143535.05580220363,26.466666666666665,4.2078197592621285
uav_U9,0.75,30,-412.4905031884388,31.71032160932134,0.258,0.0427018533071115,3885.063121477382,57884.06017929015,25.8,4.27018533071115
uav_U6,0.98,30,-419.7300381196276,30.200225150569597,0.25266666666666665,0.03703989771838611,4149.017226669335,154030.5519211992,25.266666666666666,3.703989771838611
uav_U8,0.9,30,-426.6284769689222,29.41365527973304,0.24633333333333332,0.036053918753323665,4274.74109044392,121081.04808526098,24.633333333333333,3.6053918753323666
uav_U6,0.9,30,-438.23392117500646,30.29433015743966,0.23366666666666666,0.04004164498785401,4517.818965539299,129932.93967929664,23.366666666666667,4.004164498785401
uav_U8,0.75,30,-469.03242096626803,27.81889056309977,0.19866666666666666,0.035886154599706316,5129.689172642345,84137.42726712768,19.866666666666667,3.5886154599706317
uav_U6,0.75,30,-480.26361298338577,28.359828299831282,0.18666666666666665,0.036609150291388504,5421.382615029562,90284.5876361772,18.666666666666664,3.6609150291388506
