test_seed,selected_uav,resource_level,reward,success_rate,mean_latency_ms,mean_energy_mJ
950003,uav_U5,0.9,-300.70652720629033,0.39,2515.497226893234,52809.497035763015
950004,uav_U5,0.9,-310.00197050905894,0.4,2797.416766662608,66696.66346437075
950005,uav_U5,0.9,-351.306787619043,0.34,2918.3471170555417,72587.34071168849
950006,uav_U5,0.9,-311.61722341434114,0.41,3007.6282022953533,74799.32718810528
950007,uav_U5,0.9,-237.83868692247418,0.47,2134.481722044971,49107.878882278215
950008,uav_U5,0.9,-331.9945442551095,0.36,3057.658124190292,72153.28077207849
950009,uav_U5,0.9,-286.43191128293086,0.42,2709.270760787532,64761.59612669587
950010,uav_U5,0.9,-276.33337664730965,0.45,2385.5799963297654,56375.22961245341
950011,uav_U5,0.9,-301.29102178204585,0.39,2644.2377695487507,66487.2117681839
950012,uav_U5,0.9,-349.6875559008998,0.31,2680.757539873421,61193.143019837735
950013,uav_U5,0.9,-331.31188060145087,0.33,2459.903690274823,55498.36565794677
950014,uav_U5,0.9,-237.94776257792947,0.49,2417.0680231669726,55301.02297398528
950015,uav_U5,0.9,-328.4715344778412,0.37,2693.0317549209576,64786.81200324161
950016,uav_U5,0.9,-351.68331903977537,0.31,2391.232146040073,50231.05223220313
950017,uav_U5,0.9,-353.13447839320605,0.32,3112.7859969450533,71188.22025502517
950018,uav_U5,0.9,-297.2856416748105,0.39,2213.5798726928547,49014.85338913004
950019,uav_U5,0.9,-320.8033336749208,0.38,2782.51620595365,66755.48170621552
950020,uav_U5,0.9,-285.32125065359634,0.39,2048.2395939266908,46869.879753951056
950021,uav_U5,0.9,-270.03639484782093,0.45,2282.3937306049047,50924.04771431693
950022,uav_U5,0.9,-306.00221432157616,0.36,2282.609584050022,47839.27185349383
950023,uav_U5,0.9,-321.32406807170986,0.34,3225.8664278459128,76985.15475426367
950024,uav_U5,0.9,-289.7236237661763,0.4,2427.0181581001457,52940.59168776445
950025,uav_U5,0.9,-359.48422751958174,0.29,2777.031942158753,66337.41476125784
950026,uav_U5,0.9,-359.6569484117115,0.32,2992.2756730871874,72747.5975700153
950027,uav_U5,0.9,-357.55897405693014,0.31,2473.4432379741247,52413.342276479794
950028,uav_U5,0.9,-355.36469935430335,0.3,2947.691835797321,68869.1346260753
950029,uav_U5,0.9,-369.80959466580083,0.32,2725.421363582256,63714.1635915049
950000,uav_U6,0.9,-459.2963990854109,0.23,4080.999070563826,116289.73290347694
950001,uav_U6,0.9,-478.035597093414,0.19,4011.8628223614833,109124.8706677368
950002,uav_U6,0.9,-377.7779561193836,0.33,3448.377645249772,95545.56108863337
950003,uav_U6,0.9,-437.51602552837176,0.21,4208.141506850982,114498.1338688247
950004,uav_U6,0.9,-457.59232120003804,0.2,4936.416959803463,144655.11806243449
950005,uav_U6,0.9,-462.8909491609509,0.21,5246.6906160172575,157447.01796308128
950006,uav_U6,0.9,-447.45606045743546,0.23,5406.892030065999,162244.0124739221
950007,uav_U6,0.9,-376.4710835103434,0.28,3709.1568766171845,106497.93297443932
950008,uav_U6,0.9,-436.01814948070694,0.26,5371.6270599081445,156489.22193545866
950009,uav_U6,0.9,-405.49123155274765,0.28,4786.2663307654575,140460.62044275462
950010,uav_U6,0.9,-390.6602968006491,0.31,4193.441481659407,122264.8195148481
950011,uav_U6,0.9,-411.9171353291193,0.29,4776.927816863481,144216.63353966095
950012,uav_U6,0.9,-464.36348470645316,0.2,4642.807019293808,132701.1827569474
950013,uav_U6,0.9,-448.7987434012836,0.2,4239.323540894021,120349.92162563773
950014,uav_U6,0.9,-389.698901537526,0.26,4190.2886205400955,119927.46114565025
950015,uav_U6,0.9,-421.6379798024185,0.28,4770.843931429675,140515.06025351642
950016,uav_U6,0.9,-461.7986491682535,0.21,4001.180533989058,108906.2154915174
950017,uav_U6,0.9,-469.72828907978277,0.2,5395.420491431258,154381.02246454972
950018,uav_U6,0.9,-439.8298492862677,0.21,3785.0441487529683,106287.60574529823
950019,uav_U6,0.9,-430.7789803948831,0.25,4923.474209968096,144785.37215579455
950020,uav_U6,0.9,-417.2862097310635,0.24,3551.1012424575,101642.73710329592
950021,uav_U6,0.9,-398.8891208929829,0.29,3915.0357116685586,110426.66894988484
950022,uav_U6,0.9,-434.83584395105623,0.21,3815.9552579099773,103721.8048751856
950023,uav_U6,0.9,-455.2902925205496,0.2,5694.811526074024,166970.64745945722
950024,uav_U6,0.9,-430.52377662282436,0.22,4124.20505654699,114794.89314946155
950025,uav_U6,0.9,-470.29524030518877,0.19,4904.571405630789,143878.03689101187
950026,uav_U6,0.9,-471.30482689940766,0.19,5325.50789896284,157785.1118953892
950027,uav_U6,0.9,-465.65509493163137,0.21,4153.398443456544,113640.23592656227
950028,uav_U6,0.9,-472.0417769973348,0.19,5156.194873588428,149360.28368716806
950029,uav_U6,0.9,-463.1373697027136,0.24,4768.604836857895,138180.25336729977
950000,uav_U7,0.9,-364.3370385482134,0.28,2361.6084663003844,53625.136323073406
950001,uav_U7,0.9,-362.1849997017962,0.3,2398.6955768944304,50331.90886238885
950002,uav_U7,0.9,-267.78445121373215,0.43,2035.844299069762,44065.27867581528
950003,uav_U7,0.9,-300.7077511106781,0.39,2515.5185053588443,52809.49943672746
950004,uav_U7,0.9,-310.0031449690043,0.4,2797.437669384431,66696.6658676995
950005,uav_U7,0.9,-351.30803130225854,0.34,2918.3688977523616,72587.34319443192
950006,uav_U7,0.9,-311.61829562565003,0.41,3007.650080745872,74799.32969312888
950007,uav_U7,0.9,-237.83976943795787,0.47,2134.4994076970065,49107.88086397428
950008,uav_U7,0.9,-331.99582743561615,0.36,3057.679343408774,72153.28311740632
950009,uav_U7,0.9,-286.43324555539175,0.42,2709.290014687054,64761.598285548025
950010,uav_U7,0.9,-276.33446713294813,0.45,2385.5979554602873,56375.231687128646
950011,uav_U7,0.9,-301.2923018194577,0.39,2644.256163422979,66487.2139036185
950012,uav_U7,0.9,-349.68897683516263,0.31,2680.779893848906,61193.14561397315
950013,uav_U7,0.9,-331.3132650960337,0.33,2459.92509893831,55498.36809873081
950014,uav_U7,0.9,-237.94882318866965,0.49,2417.087250394585,55301.02516694323
950015,uav_U7,0.9,-328.47265063319384,0.37,2693.0524083721025,64786.814390223284
950016,uav_U7,0.9,-351.68468194191973,0.31,2391.2513809026195,50231.054389024815
950017,uav_U7,0.9,-353.1357372778345,0.32,3112.8097960494297,71188.2229537146
950018,uav_U7,0.9,-297.2868448151641,0.39,2213.598242783883,49014.85543826788
950019,uav_U7,0.9,-320.8045104359148,0.38,2782.5369168104303,66755.4840251771
950020,uav_U7,0.9,-285.3226341817299,0.39,2048.2562341977136,46869.88165646716
950021,uav_U7,0.9,-270.0375138156244,0.45,2282.412252431507,50924.04982601729
950022,uav_U7,0.9,-306.0035566916729,0.36,2282.630010416548,47839.274144866315
950023,uav_U7,0.9,-321.3252424618954,0.34,3225.8859167785804,76985.15696407312
950024,uav_U7,0.9,-289.7248497172576,0.4,2427.039213892598,52940.59405842973
950025,uav_U7,0.9,-359.48559239649813,0.29,2777.053073213268,66337.41714721468
950026,uav_U7,0.9,-359.65822972075847,0.32,2992.2983760864818,72747.6001801252
950027,uav_U7,0.9,-357.5602856765362,0.31,2473.4625193375464,52413.34444855811
950028,uav_U7,0.9,-355.36602305702814,0.3,2947.7145023478492,68869.13715341958
950029,uav_U7,0.9,-369.8109003218824,0.32,2725.4418675284487,63714.16593787663
950000,uav_U8,0.9,-452.862100078376,0.23,3863.4271275622505,108367.62273657983
950001,uav_U8,0.9,-466.38824874381027,0.2,3807.7255974653644,101692.21511732455
950002,uav_U8,0.9,-371.3465566659267,0.33,3269.616831095655,89037.37886662563
950003,uav_U8,0.9,-418.70768586003373,0.24,3993.945433046633,106699.40452761894
950004,uav_U8,0.9,-443.53642622595373,0.22,4665.796098277747,134799.5509405368
950005,uav_U8,0.9,-457.0452305194738,0.21,4952.124172739081,146718.99434814366
950006,uav_U8,0.9,-437.0580779465213,0.24,5103.358836259389,151189.19074711102
950007,uav_U8,0.9,-370.26258015747464,0.28,3509.9101762935443,99242.63657898594
950008,uav_U8,0.9,-425.4461254196719,0.27,5078.883428801833,145827.41063884555
950009,uav_U8,0.9,-400.66911433472046,0.28,4523.500488442659,130890.6939508482
950010,uav_U8,0.9,-385.02148433481165,0.31,3964.7125448023603,113935.00701590886
950011,uav_U8,0.9,-405.5301167713946,0.29,4507.129590192979,134390.02351098027
950012,uav_U8,0.9,-449.73660604483115,0.22,4394.541941978103,123661.07811979107
950013,uav_U8,0.9,-430.3106821953375,0.23,4014.1559676315724,112151.33421448404
950014,uav_U8,0.9,-374.9815489794953,0.28,3965.9264130845386,111757.33568857037
950015,uav_U8,0.9,-412.69883694385464,0.29,4507.960961092762,130941.4369941009
950016,uav_U8,0.9,-450.82717763494765,0.22,3797.4591976775782,101488.453272678
950017,uav_U8,0.9,-451.48772530671545,0.23,5106.612566135566,143863.72380654977
950018,uav_U8,0.9,-420.36438610040193,0.24,3586.19657526418,99047.13801918682
950019,uav_U8,0.9,-421.62314419893005,0.26,4652.607745594792,134920.77491852382
950020,uav_U8,0.9,-397.88121019089954,0.27,3360.9436148830664,94718.30869566128
950021,uav_U8,0.9,-389.05514604248344,0.3,3708.4525187457766,102904.2995654541
950022,uav_U8,0.9,-423.06158469368717,0.22,3621.906244412641,96657.0869047842
950023,uav_U8,0.9,-442.99408967964877,0.21,5382.492913242271,155594.6186341339
950024,uav_U8,0.9,-411.3115635148304,0.25,3909.4369131492813,106975.22071135754
950025,uav_U8,0.9,-458.73407267520054,0.2,4635.397148280645,134075.2925121189
950026,uav_U8,0.9,-465.01190439950113,0.19,5030.314265636685,147034.60477245733
950027,uav_U8,0.9,-454.93940179132824,0.22,3940.826351873677,105899.88264040402
950028,uav_U8,0.9,-452.754367713222,0.22,4876.769922713175,139184.53094902512
950029,uav_U8,0.9,-457.207113904183,0.24,4510.101126941792,128766.19315903918
950000,uav_U9,0.9,-404.1523236100516,0.26,2935.1807221000013,74533.72044821164
950001,uav_U9,0.9,-426.95360272742124,0.21,2936.828848473909,69948.6882154001
950002,uav_U9,0.9,-310.5903286978492,0.39,2507.041257354551,61242.118416708625
950003,uav_U9,0.9,-356.89602421416055,0.31,3080.1548813570353,73392.44471947302
950004,uav_U9,0.9,-367.0053496019846,0.33,3511.0069324814867,92708.17988904088
950005,uav_U9,0.9,-399.0342029152454,0.28,3695.1088931476256,100901.51077578391
950006,uav_U9,0.9,-371.9112613075274,0.32,3808.052677437453,103976.0079577929
950007,uav_U9,0.9,-295.4273276023038,0.39,2659.7961851182436,68256.56850403934
950008,uav_U9,0.9,-380.03815471901765,0.3,3829.626552341196,100292.70235124529
950009,uav_U9,0.9,-342.33212021238285,0.35,3402.1809112528263,90019.23487436566
950010,uav_U9,0.9,-329.2908490573818,0.38,2988.697754035851,78359.86414126326
950011,uav_U9,0.9,-347.68669888475085,0.35,3355.735244510669,92422.31072329478
950012,uav_U9,0.9,-389.1781318441814,0.28,3335.2991608106176,85052.42044378753
950013,uav_U9,0.9,-377.8130467282309,0.28,3053.5141207983916,77136.64911365199
950014,uav_U9,0.9,-299.89962909806013,0.39,3008.6210998441106,76864.19514279442
950015,uav_U9,0.9,-373.6600765699892,0.32,3386.2072635388413,90054.20041639789
950016,uav_U9,0.9,-411.87693632420127,0.23,2928.307965617351,69808.5290165019
950017,uav_U9,0.9,-394.1179322528459,0.29,3874.286305288757,98946.22160558686
950018,uav_U9,0.9,-343.53862714136295,0.34,2737.8195207099316,68124.40390545783
950019,uav_U9,0.9,-365.53818300210713,0.33,3496.760587396767,92790.83376384141
950020,uav_U9,0.9,-350.42801511670086,0.3,2549.5981554890623,65145.318911616625
950021,uav_U9,0.9,-323.07497857687684,0.38,2827.0450907437857,70777.61340806395
950022,uav_U9,0.9,-348.2963473321089,0.32,2794.120176872062,66484.96214906631
950023,uav_U9,0.9,-390.6991787275286,0.24,4049.5528148090393,107009.5999158727
950024,uav_U9,0.9,-343.1937093978095,0.33,2993.1926286434,73578.81499556337
950025,uav_U9,0.9,-401.7448074751799,0.25,3486.7969740980225,92209.51777156896
950026,uav_U9,0.9,-402.83762854206486,0.27,3770.6639308210647,101121.10390141065
950027,uav_U9,0.9,-417.07912481527615,0.23,3033.8772158448737,72842.22642159952
950028,uav_U9,0.9,-411.6362970200603,0.23,3684.4632807167504,95725.70635322403
950029,uav_U9,0.9,-407.43647067916964,0.29,3407.043458256573,88560.42186059151
950000,uav_U10,0.9,-381.253926383875,0.28,2659.3447862349885,64475.00742198996
950001,uav_U10,0.9,-398.26272775893005,0.25,2678.0390981430583,60511.43764691773
950002,uav_U10,0.9,-285.807932303807,0.42,2280.4474512357656,52978.67611807046
950003,uav_U10,0.9,-325.43667349484156,0.36,2808.621719388835,63490.39074104349
950004,uav_U10,0.9,-341.7379147228088,0.36,3167.8231623745924,80194.54420453781
950005,uav_U10,0.9,-364.1892104703291,0.34,3321.5391170481716,87280.11241062917
950006,uav_U10,0.9,-340.58408833041835,0.37,3423.0997434055384,89939.67212821821
950007,uav_U10,0.9,-259.5682605576635,0.45,2407.1712163970383,59044.50671899119
950008,uav_U10,0.9,-353.01907767114034,0.34,3458.359784745191,86755.37144669158
950009,uav_U10,0.9,-317.7347928364295,0.38,3068.9371528143693,77868.27417995702
950010,uav_U10,0.9,-309.9814908578058,0.4,2698.6445439320464,67783.48340800873
950011,uav_U10,0.9,-329.61900675238275,0.36,3013.544910620422,79945.4366155931
950012,uav_U10,0.9,-372.4467739908834,0.29,3020.5302322289645,73574.18723735843
950013,uav_U10,0.9,-353.8998480096459,0.31,2768.053017154907,66726.8932725025
950014,uav_U10,0.9,-273.9095568082673,0.43,2724.138170455874,66490.57260520646
950015,uav_U10,0.9,-354.0177905555699,0.34,3052.8432755798503,77898.5505533611
950016,uav_U10,0.9,-379.34565704649,0.28,2670.0330544977087,60390.186769369124
950017,uav_U10,0.9,-372.5980633273431,0.31,3508.069246943629,85592.38663271273
950018,uav_U10,0.9,-323.1072914265402,0.36,2485.715258398386,58931.17156156649
950019,uav_U10,0.9,-350.1806111880449,0.34,3153.2610680492717,80265.73075941988
950020,uav_U10,0.9,-313.3032373044746,0.36,2308.492368549165,56353.360983577644
950021,uav_U10,0.9,-299.38832109244197,0.41,2565.1219453587933,61226.44977038089
950022,uav_U10,0.9,-332.25384825126076,0.33,2548.150537561051,57514.88546750525
950023,uav_U10,0.9,-365.2329562543233,0.27,3653.3963307673857,92565.41910903966
950024,uav_U10,0.9,-315.1183025834543,0.37,2720.9285731357454,63650.16879930205
950025,uav_U10,0.9,-389.9396306835685,0.25,3145.454615595967,79762.9511509473
950026,uav_U10,0.9,-372.25585977171323,0.32,3396.316581050717,87471.16065673777
950027,uav_U10,0.9,-384.8715653179338,0.28,2764.365383522827,63014.28828186965
950028,uav_U10,0.9,-382.1173311638634,0.27,3330.136798764645,82805.53120854525
950029,uav_U10,0.9,-392.05562053382357,0.3,3079.2368055477605,76607.36952696912
950000,uav_U1,0.98,-234.3418386372973,0.46,1526.2795451221828,33316.665657018835
950001,uav_U1,0.98,-262.4082739511624,0.41,1600.0385617453182,31276.539769007053
950002,uav_U1,0.98,-189.73301715568806,0.5,1341.7913125236114,27380.537919090748
950003,uav_U1,0.98,-207.52630232488374,0.52,1677.6340794440682,32815.725778265034
950004,uav_U1,0.98,-213.9315316862267,0.51,1769.7066026527514,41433.04897733675
950005,uav_U1,0.98,-256.9214769762387,0.46,1810.0011063929508,45088.39057207115
950006,uav_U1,0.98,-221.9015692431132,0.51,1865.487209076941,46462.63275356731
950007,uav_U1,0.98,-132.48143355722655,0.61,1371.7923620793401,30509.08639319818
950008,uav_U1,0.98,-263.55134466696734,0.42,1943.3090218260293,44822.91032352396
950009,uav_U1,0.98,-187.04066444565234,0.54,1711.921109068826,40230.349163021
950010,uav_U1,0.98,-183.83842024233022,0.56,1515.2382887289036,35022.388611072696
950011,uav_U1,0.98,-179.38330828270247,0.56,1631.375212982281,41298.919993732015
950012,uav_U1,0.98,-245.57490218453148,0.44,1728.7168835621678,38018.654169352936
950013,uav_U1,0.98,-218.2366198308724,0.47,1594.1461772712144,34481.001494961194
950014,uav_U1,0.98,-144.19786180738632,0.62,1557.111043383362,34356.99782996107
950015,uav_U1,0.98,-221.85677372776195,0.51,1696.7110553636187,40246.07824183872
950016,uav_U1,0.98,-249.70248352262738,0.43,1594.4092106190917,31213.865884567076
950017,uav_U1,0.98,-257.1418467790863,0.43,2005.6640135842854,44227.24664286554
950018,uav_U1,0.98,-205.29059127424304,0.5,1445.6377957183938,30453.476195335523
950019,uav_U1,0.98,-212.32564054574698,0.51,1755.2894895497475,41468.904532473316
950020,uav_U1,0.98,-184.33528945855483,0.51,1319.4251950799912,29119.137946530613
950021,uav_U1,0.98,-188.17744366574814,0.53,1485.9692176394517,31639.929454555313
950022,uav_U1,0.98,-187.62768669847048,0.54,1523.292249902534,29727.290398227116
950023,uav_U1,0.98,-208.08428970382772,0.49,2039.8512780280998,47824.08682234149
950024,uav_U1,0.98,-195.2257994559853,0.53,1594.6785794775228,32894.002563802416
950025,uav_U1,0.98,-242.88624477160573,0.46,1755.2708238475066,41209.35014080436
950026,uav_U1,0.98,-261.85549601194066,0.45,1876.0730792871107,45190.35519360026
950027,uav_U1,0.98,-255.6226472474601,0.43,1643.7435858435724,32569.295812874654
950028,uav_U1,0.98,-246.91555631748017,0.44,1881.7475477799767,42784.30150063688
950029,uav_U1,0.98,-268.53620576550253,0.44,1739.398594201196,39581.86520802078
950000,uav_U2,0.98,-269.5747236873807,0.41,1729.5110421000304,42881.611825464686
950001,uav_U2,0.98,-288.966805957822,0.38,1790.7130435500835,40250.530432817286
950002,uav_U2,0.98,-203.37643290544088,0.5,1508.7484115388645,35238.3415496855
950003,uav_U2,0.98,-231.1541583066401,0.49,1877.6992536220066,42231.703580402565
950004,uav_U2,0.98,-243.31893286612183,0.47,2022.5431066813326,53332.407069316236
950005,uav_U2,0.98,-282.58700208777685,0.43,2085.220769766509,58041.13212662633
950006,uav_U2,0.98,-252.5510521508103,0.47,2149.0912171347895,59809.94277602846
950007,uav_U2,0.98,-162.35741315475448,0.57,1557.9187107911366,39268.94143027963
950008,uav_U2,0.98,-287.47815485486535,0.39,2216.830514819654,57695.710599927064
950009,uav_U2,0.98,-209.238395517905,0.52,1957.430821050852,51784.83466275534
950010,uav_U2,0.98,-217.78418059393152,0.51,1728.932504931424,45079.58920546467
950011,uav_U2,0.98,-222.46801318352908,0.49,1883.4713478787771,53163.319845569684
950012,uav_U2,0.98,-268.87303316219015,0.42,1960.6300997627463,48933.438154443305
950013,uav_U2,0.98,-241.29498908340722,0.45,1804.4701110439419,44379.75848209234
950014,uav_U2,0.98,-163.14930836229905,0.6,1766.7069811483298,44221.39410391717
950015,uav_U2,0.98,-244.8232809312024,0.49,1942.3141596759563,51805.023805306686
950016,uav_U2,0.98,-276.0695057235894,0.4,1784.702253739569,40169.87599663243
950017,uav_U2,0.98,-279.243287087211,0.41,2275.4751797374533,56925.56040394825
950018,uav_U2,0.98,-230.93414821447968,0.47,1631.3829969061178,39195.426441038326
950019,uav_U2,0.98,-241.39584160883058,0.48,2008.3578879972283,53379.166617518844
950020,uav_U2,0.98,-210.3020872419086,0.48,1497.0637366923938,37479.511468650504
950021,uav_U2,0.98,-217.4881333465385,0.49,1678.9468190493353,40722.240597514596
950022,uav_U2,0.98,-231.63032810378058,0.46,1704.5262448723142,38257.04074892308
950023,uav_U2,0.98,-238.202944834594,0.45,2331.6987430131294,61559.219483534645
950024,uav_U2,0.98,-222.944206025568,0.49,1795.281306643403,42335.26703916387
950025,uav_U2,0.98,-275.9101801376879,0.41,2006.7518675831088,53044.931477949016
950026,uav_U2,0.98,-287.3272738041857,0.42,2151.8686364570885,58170.24097718374
950027,uav_U2,0.98,-282.1695199091258,0.4,1842.3130890584462,41914.79500311059
950028,uav_U2,0.98,-285.19172938317445,0.38,2142.7970630956866,55070.242794295984
950029,uav_U2,0.98,-303.1379717163567,0.39,1980.9080523361158,50948.158474991156
