method,saved_episode,test_seed,step,reward,success,latency_ms,energy_mJ,selected_agent,selected_cpu_fraction,selected_bandwidth_fraction,mean_cpu_fraction,mean_bandwidth_fraction,selection_score_gap,selection_entropy,low_resource_action,near_saturated_resource
MADDPG Seed 42,30,970000,29,-7.500091932675639,0,9342.829619218473,424697.4184437505,uav_U1,1.0,1.0,0.5870618224143982,0.46739593148231506,1.1920928955078125e-07,0.9614534255465759,0,1
MADDPG Seed 42,30,970000,30,0.7518726323160412,1,1389.100931723264,22400.46978154726,uav_U1,0.9999998807907104,0.9999998807907104,0.7813536524772644,0.6896341443061829,0.00028067827224731445,0.954286739900888,0,1
MADDPG Seed 42,30,970000,31,1.0743897919322696,1,834.8654179748812,9026.09578905596,uav_U1,1.0,0.9999998807907104,0.6359052658081055,0.8310036659240723,0.00022274255752563477,0.9595077326236394,0,1
MADDPG Seed 42,30,970000,32,-3.604489977495718,0,242.9673628176721,2194.2529363481153,uav_U1,0.9999998807907104,0.9999997615814209,0.6419141292572021,0.7655470371246338,4.374980926513672e-05,0.9615401953123904,0,1
MADDPG Seed 42,30,970000,33,-3.7978743572837206,0,398.4191456736093,9776.409529010314,uav_U1,1.0,0.9999998807907104,0.774438202381134,0.7917404174804688,0.00033080577850341797,0.9626102176989385,0,1
MADDPG Seed 42,30,970000,34,-7.500091942083785,0,9656.872526775582,430572.6087108387,uav_U1,1.0,1.0,0.5193215608596802,0.5628054141998291,2.5033950805664062e-06,0.9598041787328602,0,1
MADDPG Seed 42,30,970000,35,0.908379468692174,1,1057.6531069805676,45054.24335672822,uav_U1,1.0,0.9999998807907104,0.6489192843437195,0.6445927619934082,1.5497207641601562e-06,0.9628318015877727,0,1
MADDPG Seed 42,30,970000,36,0.722634547670991,1,999.572980922194,11334.400837851086,uav_U1,1.0,0.9999998807907104,0.6299059391021729,0.7714149951934814,0.00026279687881469727,0.9615907247225545,0,1
MADDPG Seed 42,30,970000,37,-7.50009250514298,0,2294.3425008711515,31047.416048570718,uav_U1,1.0,1.0,0.6094187498092651,0.6883841753005981,0.00018447637557983398,0.9570510506860316,0,1
MADDPG Seed 42,30,970000,38,-7.500092571149494,0,1248.8518967355499,12168.049377994152,uav_U1,0.9999996423721313,0.9999995231628418,0.8108517527580261,0.7278590202331543,0.0002028346061706543,0.9582959586745614,0,1
MADDPG Seed 42,30,970000,39,1.3345876122874827,1,329.97881393276526,5496.267879435538,uav_U1,1.0,1.0,0.8165056109428406,0.7861615419387817,0.0002453923225402832,0.959309135474675,0,1
MADDPG Seed 42,30,970000,40,-3.6900544497612495,0,2377.544704045202,51873.37992278834,uav_U1,0.9999998807907104,0.9999998807907104,0.6774176955223083,0.7361570000648499,0.0004277825355529785,0.9558230203488475,0,1
MADDPG Seed 42,30,970000,41,1.4492419910662657,1,93.3266808431346,2581.194160682394,uav_U1,1.0,1.0,0.673520565032959,0.8470851182937622,0.0002059340476989746,0.9663275462938159,0,1
MADDPG Seed 42,30,970000,42,1.2122344413735076,1,553.1960957304802,14722.870407277378,uav_U1,1.0,0.9999998807907104,0.7098554372787476,0.6872479319572449,0.00016021728515625,0.9587587997881544,0,1
MADDPG Seed 42,30,970000,43,-3.9202647060949722,0,727.1284200998714,25331.83408350237,uav_U1,1.0,1.0,0.5959343314170837,0.8025661706924438,0.00014460086822509766,0.9739576943163366,0,1
MADDPG Seed 42,30,970000,44,-4.816978997696975,0,2796.482606828554,97760.69805200268,uav_U1,1.0,1.0,0.5515046119689941,0.7208589315414429,0.00012803077697753906,0.966706723957793,0,1
MADDPG Seed 42,30,970000,45,-5.530030922492407,0,2926.9202928284,28575.3826035175,uav_U1,1.0,1.0,0.6579319834709167,0.6958332657814026,0.0001780390739440918,0.9577530781469176,0,1
MADDPG Seed 42,30,970000,46,1.2236225915784813,1,441.5037891503972,10005.489381422369,uav_U1,1.0,1.0,0.8356428146362305,0.8090548515319824,0.00023120641708374023,0.9617018272985914,0,1
MADDPG Seed 42,30,970000,47,-6.583405248393944,0,4479.394408414305,90570.05377573891,uav_U1,1.0,1.0,0.5677013397216797,0.5686414241790771,1.0609626770019531e-05,0.9550338089466538,0,1
MADDPG Seed 42,30,970000,48,-3.848929333482955,0,2032.697696868671,50669.37483930473,uav_U1,1.0,1.0,0.5749422311782837,0.7244988679885864,0.00012004375457763672,0.9657563982887647,0,1
MADDPG Seed 42,30,970000,49,1.2213784282599076,1,542.5752345361914,12641.765507628821,uav_U1,1.0,1.0,0.8011099100112915,0.7765223979949951,0.00018352270126342773,0.9547776414041417,0,1
MADDPG Seed 42,30,970000,50,-6.445967753135926,0,3452.6412910271965,124414.33130907259,uav_U1,0.9999998807907104,0.9999998807907104,0.7271085381507874,0.6755033731460571,4.875659942626953e-05,0.9543320921173877,0,1
MADDPG Seed 42,30,970000,51,-7.500092304050179,0,1923.650952109149,30129.339568493877,uav_U1,1.0,1.0,0.7014772891998291,0.6876469850540161,0.0003052949905395508,0.9708427839762431,0,1
MADDPG Seed 42,30,970000,52,0.962363547891161,1,641.8280985869633,23361.31504318497,uav_U1,0.9999998807907104,0.9999998807907104,0.747916042804718,0.7947805523872375,0.0003364086151123047,0.9570624405120931,0,1
MADDPG Seed 42,30,970000,53,-3.730073380651774,0,1382.4988583183494,30945.111936312842,uav_U1,1.0,1.0,0.5385565161705017,0.7068684101104736,0.00011014938354492188,0.972118030319646,0,1
MADDPG Seed 42,30,970000,54,-5.828781724316406,0,1604.4284241167009,51152.072799557485,uav_U1,1.0,0.9999998807907104,0.6001508235931396,0.5608068704605103,0.00028079748153686523,0.966722255538786,0,1
MADDPG Seed 42,30,970000,55,-7.500092091782796,0,6705.523839165167,175047.3120022076,uav_U1,1.0,1.0,0.5517221093177795,0.6142816543579102,5.7578086853027344e-05,0.9612156888135089,0,1
MADDPG Seed 42,30,970000,56,0.5704441050113473,1,541.8774030423865,14679.017448421395,uav_U1,1.0,0.9999998807907104,0.8445892333984375,0.7902430295944214,0.00029784440994262695,0.959817121717021,0,1
MADDPG Seed 42,30,970000,57,-4.130473031830824,0,1610.8159218958788,19846.355845331957,uav_U1,1.0,0.9999998807907104,0.5525868535041809,0.5962866544723511,0.0001277923583984375,0.9585074988076868,0,1
MADDPG Seed 42,30,970000,58,1.2201015887476896,1,485.1839721485411,10842.952884065664,uav_U1,1.0,1.0,0.6431807279586792,0.828352153301239,0.00019317865371704102,0.9674594879165896,0,1
MADDPG Seed 42,30,970000,59,-4.594508297853016,0,2220.0808451814437,35421.85206087663,uav_U1,1.0,1.0,0.6563812494277954,0.6992931365966797,0.00028449296951293945,0.9690497147225318,0,1
MADDPG Seed 42,30,970000,60,0.9337459372149008,1,940.3943864273658,13023.99418247794,uav_U1,1.0,1.0,0.7602474093437195,0.763243556022644,0.00017338991165161133,0.9616224091477803,0,1
MADDPG Seed 42,30,970000,61,-4.428324821731676,0,3347.41208852221,96721.07947634828,uav_U1,1.0,1.0,0.5781086087226868,0.6339198350906372,0.00020843744277954102,0.9670176662092739,0,1
MADDPG Seed 42,30,970000,62,1.0905537787417712,1,392.16130669599346,11789.955368660323,uav_U1,1.0,1.0,0.731728196144104,0.6988288760185242,0.00029355287551879883,0.9588631720124278,0,1
MADDPG Seed 42,30,970000,63,1.265544802600522,1,112.49402772037705,1273.2682370522436,uav_U1,1.0,0.9999998807907104,0.6382522583007812,0.8410143852233887,0.00024825334548950195,0.962452002660556,0,1
MADDPG Seed 42,30,970000,64,-4.603621081524482,0,1110.6633117125887,31559.565936695904,uav_U1,1.0,1.0,0.5550767183303833,0.6605928540229797,0.00010561943054199219,0.9707699926333223,0,1
MADDPG Seed 42,30,970000,65,-3.623401029165956,0,527.9551004265077,9976.076022997966,uav_U1,1.0,0.9999998807907104,0.8477967381477356,0.752962589263916,0.000399172306060791,0.9668272490262991,0,1
MADDPG Seed 42,30,970000,66,0.7194521260463875,1,1392.3332930094912,51842.98389998928,uav_U1,1.0,0.9999998807907104,0.710049033164978,0.7845641374588013,0.0002594590187072754,0.9569310433368919,0,1
MADDPG Seed 42,30,970000,67,1.0081233978115793,1,748.4948353669934,6259.719710692542,uav_U1,1.0,0.9999998807907104,0.6702872514724731,0.7233453989028931,0.0002524256706237793,0.9558427972286453,0,1
MADDPG Seed 42,30,970000,68,0.9733410442523767,1,938.8678957285756,10165.98237600481,uav_U1,0.9999997615814209,0.9999996423721313,0.7793661952018738,0.6803222894668579,0.0005386471748352051,0.9548681387493946,0,1
MADDPG Seed 42,30,970000,69,1.0125127691663491,1,892.4197614693435,10620.198541774462,uav_U1,1.0,0.9999998807907104,0.6455776691436768,0.8483083844184875,0.00032079219818115234,0.9543971176698118,0,1
MADDPG Seed 42,30,970000,70,-4.030151235924466,0,794.1004459109024,9089.948877770463,uav_U1,1.0,0.9999998807907104,0.7148947715759277,0.7895737886428833,0.0003872513771057129,0.9585373194431934,0,1
MADDPG Seed 42,30,970000,71,-6.860650201607446,0,1800.9104054666136,31464.575359833296,uav_U1,1.0,1.0,0.8297690153121948,0.7105075120925903,0.0004088282585144043,0.9555351683811095,0,1
MADDPG Seed 42,30,970000,72,1.0815850948951224,1,435.05580738820566,14713.044518199273,uav_U1,0.9999998807907104,0.9999997615814209,0.8204751014709473,0.7661855220794678,0.0006639361381530762,0.9593804772033697,0,1
MADDPG Seed 42,30,970000,73,0.5249861491298493,1,1925.4704159894839,47137.15938534832,uav_U1,1.0,1.0,0.6133774518966675,0.7767460942268372,0.00024968385696411133,0.9699288022067386,0,1
MADDPG Seed 42,30,970000,74,0.7575070502688221,1,740.1731567401098,7995.334025868588,uav_U1,1.0,1.0,0.6500584483146667,0.8510826230049133,0.00018984079360961914,0.9567701361578038,0,1
MADDPG Seed 42,30,970000,75,1.0234445125264733,1,292.5484266151226,6050.278985255478,uav_U1,1.0,0.9999998807907104,0.7599480748176575,0.7476328015327454,0.00026160478591918945,0.9586191191030903,0,1
MADDPG Seed 42,30,970000,76,-3.5073120387095367,0,486.4872063821876,10841.261392470558,uav_U1,1.0,0.9999998807907104,0.6959079504013062,0.8233965039253235,0.00038504600524902344,0.9710269885268207,0,1
MADDPG Seed 42,30,970000,77,1.3321375034777205,1,241.92493153128757,6519.586628350244,uav_U1,1.0,1.0,0.7667661309242249,0.7821159958839417,0.00017684698104858398,0.9677120314235367,0,1
MADDPG Seed 42,30,970000,78,0.7253556644467978,1,760.6100106956011,11600.468995276357,uav_U1,1.0,1.0,0.7062324285507202,0.6774382591247559,0.0001417398452758789,0.9554499517733943,0,1
MADDPG Seed 42,30,970000,79,-7.500091955655855,0,8291.175255806393,341426.16183215665,uav_U1,1.0,1.0,0.506476879119873,0.5714701414108276,1.9073486328125e-06,0.961442967615374,0,1
MADDPG Seed 42,30,970000,80,-3.9442527602589816,0,2842.1083617980926,97328.54807853467,uav_U1,1.0,1.0,0.5350240468978882,0.7560519576072693,0.00013327598571777344,0.9673412408132959,0,1
MADDPG Seed 42,30,970000,81,0.8219752297061618,1,1124.6897173394564,16405.576649860493,uav_U1,0.9999998807907104,0.9999998807907104,0.7332451343536377,0.7844401001930237,0.00040966272354125977,0.9560219281294319,0,1
MADDPG Seed 42,30,970000,82,-7.332456152785557,0,1671.9979177084417,36498.671162737046,uav_U1,1.0,1.0,0.5823139548301697,0.7599083185195923,0.00013363361358642578,0.9763406530161641,0,1
MADDPG Seed 42,30,970000,83,0.7165033167835388,1,1088.1484245335116,12790.186650172527,uav_U1,0.9999998807907104,0.9999998807907104,0.751791775226593,0.7818050384521484,0.0003370046615600586,0.9597883365202473,0,1
MADDPG Seed 42,30,970000,84,-3.75006389433202,0,1382.4689636697785,57324.25758655017,uav_U1,1.0,1.0,0.6353099942207336,0.7641943097114563,0.00011134147644042969,0.958475089575348,0,1
MADDPG Seed 42,30,970000,85,-4.4667018532208065,0,1280.2629542477391,34375.87895062697,uav_U1,1.0,1.0,0.5309144258499146,0.845880389213562,7.593631744384766e-05,0.967154758297506,0,1
MADDPG Seed 42,30,970000,86,1.1204830876695988,1,619.2212510502461,16270.79177565366,uav_U1,1.0,0.9999998807907104,0.8552142381668091,0.7927650213241577,0.0003377199172973633,0.9578223489981466,0,1
MADDPG Seed 42,30,970000,87,0.8631545140807497,1,713.16387757594,23466.372468006826,uav_U1,1.0,1.0,0.7524448037147522,0.7726784944534302,0.00013113021850585938,0.957344494022927,0,1
MADDPG Seed 42,30,970000,88,-5.141133007066704,0,2239.602509662309,38294.783602570635,uav_U1,1.0,1.0,0.6337032318115234,0.7154852151870728,0.00012803077697753906,0.9557879189758032,0,1
MADDPG Seed 42,30,970000,89,0.6056129174485148,1,328.206254473079,8814.690472935277,uav_U1,1.0,1.0,0.7941008806228638,0.8204213976860046,0.00027948617935180664,0.9701851768369972,0,1
MADDPG Seed 42,30,970000,90,0.8019611832275211,1,1252.1144481708834,7176.023699242243,uav_U1,0.9999998807907104,0.9999997615814209,0.7630953788757324,0.7954749464988708,0.0006754398345947266,0.9565050638421891,0,1
MADDPG Seed 42,30,970000,91,-5.773012097281798,0,2886.7155776936593,125439.7477555418,uav_U1,1.0,1.0,0.5659006834030151,0.7431827783584595,8.83340835571289e-05,0.9593890713448525,0,1
MADDPG Seed 42,30,970000,92,1.1519260371888986,1,274.5577282640068,7618.289266931725,uav_U1,1.0,1.0,0.7452264428138733,0.8216478228569031,0.0002765059471130371,0.9603983134777812,0,1
MADDPG Seed 42,30,970000,93,0.81221755326448,1,6875.045428198297,71683.16211960485,uav_U1,1.0,1.0,0.7674177289009094,0.8217813372612,0.0001659393310546875,0.9548929892789835,0,1
MADDPG Seed 42,30,970000,94,0.5788742825763364,1,1632.071429726072,38410.451692290975,uav_U1,1.0,1.0,0.6752888560295105,0.8045405149459839,6.258487701416016e-05,0.9715799128101734,0,1
MADDPG Seed 42,30,970000,95,-4.549557522286481,0,1280.9158825170484,33932.54080269536,uav_U1,1.0,1.0,0.5887815356254578,0.6939665079116821,0.00013256072998046875,0.9718064668049254,0,1
MADDPG Seed 42,30,970000,96,-6.101967782703168,0,4325.852825680712,157761.90237681425,uav_U1,1.0,1.0,0.5420061945915222,0.6355408430099487,0.00017303228378295898,0.9644934736662829,0,1
MADDPG Seed 42,30,970000,97,-7.500092985616735,0,8300.626354619777,56214.33917256254,uav_U1,1.0,1.0,0.5634146928787231,0.6726114749908447,7.033348083496094e-06,0.9579453591196115,0,1
MADDPG Seed 42,30,970000,98,-7.50009198525266,0,5219.264799778044,190680.6323992689,uav_U1,1.0,1.0,0.6771448850631714,0.6840376853942871,1.9073486328125e-06,0.9544539632562464,0,1
MADDPG Seed 42,30,970000,99,-6.571032845121656,0,2108.7471195901817,27057.26388798835,uav_U1,1.0,1.0,0.5388709902763367,0.7002671957015991,4.6253204345703125e-05,0.9654810751296945,0,1
MADDPG Seed 42,30,970001,0,-7.500072680763774,0,287898.7582143884,259971.04512660354,uav_U4,0.018469689413905144,0.0006979117169976234,0.557284951210022,0.48874688148498535,2.384185791015625e-07,0.9571267412574044,1,0
MADDPG Seed 42,30,970001,1,-3.892810403325285,0,1724.1853293260413,55624.25631771912,uav_U1,0.9999998807907104,0.9999998807907104,0.5750969052314758,0.7268561720848083,0.00019866228103637695,0.9677948665221663,0,1
MADDPG Seed 42,30,970001,2,-7.50009331999697,0,3871.091425193557,25026.648897968207,uav_U1,0.9999997615814209,0.9999996423721313,0.5892156362533569,0.6094856262207031,1.52587890625e-05,0.9681374931988731,0,1
MADDPG Seed 42,30,970001,3,-5.917820689553324,0,3783.4256642275755,140838.21448345075,uav_U1,1.0,0.9999998807907104,0.5761305093765259,0.5617009401321411,1.7523765563964844e-05,0.9624180402701178,0,1
MADDPG Seed 42,30,970001,4,1.4666048249408363,1,333.90574215491006,11367.402581733217,uav_U1,1.0,1.0,0.5719586610794067,0.6743543148040771,0.00010883808135986328,0.9504791210485042,0,1
MADDPG Seed 42,30,970001,5,0.5094185025113629,1,1090.5287180281255,22299.4592644246,uav_U1,1.0,0.9999998807907104,0.6042672991752625,0.728751540184021,0.00021451711654663086,0.965997137794157,0,1
MADDPG Seed 42,30,970001,6,-3.5917936657991714,0,449.7808962891928,6424.383661125844,uav_U1,0.9999997615814209,0.9999996423721313,0.8328766822814941,0.7228982448577881,0.0006275773048400879,0.956546170759884,0,1
MADDPG Seed 42,30,970001,7,1.0579424193304323,1,473.3450436958197,11946.61337971452,uav_U1,0.9999997615814209,0.9999996423721313,0.7039972543716431,0.7603175640106201,0.00047326087951660156,0.9528125857769005,0,1
MADDPG Seed 42,30,970001,8,1.1507780028890835,1,493.66896580389806,5399.470848870146,uav_U1,0.9999995231628418,0.9999992847442627,0.6962841153144836,0.7636048793792725,0.00031697750091552734,0.9536126692857894,0,1
MADDPG Seed 42,30,970001,9,0.7402434892290901,1,981.486568626604,36453.72408528253,uav_U1,0.9999997615814209,0.9999996423721313,0.6864069104194641,0.7624771595001221,0.0004470944404602051,0.9549268481255483,0,1
MADDPG Seed 42,30,970001,10,1.1962603893216648,1,568.1243705148786,12503.34975107815,uav_U1,1.0,1.0,0.6050546169281006,0.7998580932617188,0.00019162893295288086,0.9628799494888513,0,1
MADDPG Seed 42,30,970001,11,0.5544646224729906,1,1839.832621586961,47905.95694938381,uav_U1,1.0,1.0,0.6104454398155212,0.7575231194496155,0.0001119375228881836,0.9608264673938229,0,1
MADDPG Seed 42,30,970001,12,-3.6033610192960923,0,614.5207333368742,13605.484983101529,uav_U1,0.9999998807907104,0.9999998807907104,0.6701624393463135,0.7167724370956421,0.00027042627334594727,0.9592191558487885,0,1
MADDPG Seed 42,30,970001,13,-4.014092936381871,0,1203.6306479961124,26800.80726984748,uav_U1,0.9999998807907104,0.9999997615814209,0.6638110876083374,0.7331489324569702,0.0002709031105041504,0.952291449462647,0,1
MADDPG Seed 42,30,970001,14,1.1175315302468025,1,392.7003337997966,6943.969320385893,uav_U1,0.9999998807907104,0.9999998807907104,0.6610779762268066,0.784424901008606,0.0003916621208190918,0.9613677947633675,0,1
MADDPG Seed 42,30,970001,15,-4.519935233459208,0,551.4171858292394,17260.229335581884,uav_U1,0.9999998807907104,0.9999998807907104,0.6511971354484558,0.7442460060119629,0.00035309791564941406,0.9631474033135515,0,1
MADDPG Seed 42,30,970001,16,-3.5922686316707075,0,703.3613926105922,8642.125530020294,uav_U1,0.9999997615814209,0.9999995231628418,0.6972626447677612,0.5994038581848145,0.0002779364585876465,0.9522672201962978,0,1
MADDPG Seed 42,30,970001,17,-4.349539521160004,0,2807.461053987642,63535.83851727732,uav_U1,1.0,0.9999998807907104,0.5497735142707825,0.6068010330200195,1.0848045349121094e-05,0.9618431646856282,0,1
MADDPG Seed 42,30,970001,18,1.1685050219754993,1,602.8213122211077,8423.391026873647,uav_U1,0.9999998807907104,0.9999998807907104,0.6448896527290344,0.8109224438667297,0.0002929568290710449,0.9541435387241319,0,1
MADDPG Seed 42,30,970001,19,-3.5301271580667493,0,687.0330259488917,7859.337816859898,uav_U1,0.9999997615814209,0.9999995231628418,0.779229462146759,0.6828416585922241,0.0001652240753173828,0.9554818432863668,0,1
MADDPG Seed 42,30,970001,20,-3.9806125507232792,0,1601.9225499877564,17119.30451550163,uav_U1,0.9999997615814209,0.9999996423721313,0.7210680842399597,0.7369568347930908,0.000573277473449707,0.9608297807977682,0,1
MADDPG Seed 42,30,970001,21,-3.560672099456039,0,479.38217118707985,13981.1827508693,uav_U1,0.9999998807907104,0.9999998807907104,0.6963571906089783,0.6953678727149963,0.00033164024353027344,0.9626488395636745,0,1
MADDPG Seed 42,30,970001,22,1.1935385298191,1,507.96030243159464,11624.397309230077,uav_U1,0.9999995231628418,0.9999991655349731,0.7988738417625427,0.7009559273719788,0.0010123848915100098,0.9565774410096167,0,1
MADDPG Seed 42,30,970001,23,1.23137968238594,1,493.2857352641453,6609.479777871137,uav_U1,0.9999998807907104,0.9999998807907104,0.778516411781311,0.77289879322052,0.0006315112113952637,0.9574501087736798,0,1
MADDPG Seed 42,30,970001,24,-3.9280771886378414,0,1155.2397624806133,22502.53800635969,uav_U1,1.0,1.0,0.5929794907569885,0.7114712595939636,0.00020426511764526367,0.9669231306529629,0,1
MADDPG Seed 42,30,970001,25,1.2694246992853737,1,389.51657779567614,10181.403035550478,uav_U1,1.0,0.9999998807907104,0.8121886253356934,0.7041240930557251,0.00032711029052734375,0.9571587363142501,0,1
MADDPG Seed 42,30,970001,26,-4.5610658741249255,0,3336.716617040408,97454.56616370194,uav_U1,0.9999998807907104,0.9999998807907104,0.5345296263694763,0.5018149614334106,9.059906005859375e-06,0.9622332144563005,0,1
MADDPG Seed 42,30,970001,27,1.134541694971923,1,3651.7822763903914,21379.463432775912,uav_U1,1.0,0.9999998807907104,0.7971766591072083,0.7593033313751221,0.00016641616821289062,0.9622914061130877,0,1
MADDPG Seed 42,30,970001,28,0.5777662012230944,1,747.8566561514602,11004.671169502584,uav_U1,0.9999998807907104,0.9999997615814209,0.6985727548599243,0.7612237334251404,0.00041943788528442383,0.9593072716849558,0,1
MADDPG Seed 42,30,970001,29,1.1953752863589018,1,538.4135890104066,13371.56262582511,uav_U1,0.9999998807907104,0.9999997615814209,0.8420702219009399,0.7469929456710815,0.0008533000946044922,0.9572786401195165,0,1
