method,saved_episode,evaluation_episodes,mean_reward,std_reward,mean_success_rate,std_success_rate,mean_latency_ms,std_latency_ms,mean_energy_mJ,std_energy_mJ,success_rate_percent,success_std_percent
CA-MADDPG Seed 42 best,10,100,-252.1358242384374,37.27085110801202,0.4495,0.05563907862920693,1975.7549546160676,247.28530198506076,22315.23615809949,3515.4186653686047,44.95,5.5639078629206935
CA-MADDPG Seed 42 final,30,100,-246.03727208402077,37.56973112278626,0.44060000000000005,0.05052891961215595,2148.9044736834976,342.0894321922035,55670.151960517804,11534.413851606072,44.06,5.052891961215595
MADDPG Seed 42 baseline,30,100,-214.74611593096535,34.92155589563822,0.4963,0.05046560985243098,1667.4904592079274,202.6674028020292,39834.99847261741,6577.978973595965,49.63,5.046560985243098
