test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ,method,saved_episode
950074,-152.14313968861265,0.61,1486.7083004961607,34680.54873480735,MADDPG Seed 42 baseline,30
950075,-176.79116826695804,0.57,1496.812150593905,36521.49946380907,MADDPG Seed 42 baseline,30
950076,-204.4436345748933,0.5,1453.4072521178584,33513.579626807405,MADDPG Seed 42 baseline,30
950077,-194.64696428838428,0.52,1601.1140947796912,39432.69382467782,MADDPG Seed 42 baseline,30
950078,-242.28776495408272,0.46,1770.324994500192,43513.56692595253,MADDPG Seed 42 baseline,30
950079,-194.5408037728879,0.49,1343.1845285973443,29493.13727283873,MADDPG Seed 42 baseline,30
950080,-281.8169373618626,0.42,1930.990372804064,53658.50714250349,MADDPG Seed 42 baseline,30
950081,-226.2015576602685,0.48,1672.2615026780231,42228.58050649157,MADDPG Seed 42 baseline,30
950082,-142.08608869068777,0.6,1491.7979884954575,34733.55670359436,MADDPG Seed 42 baseline,30
950083,-241.34572906105703,0.46,1539.1542433093427,36398.24704049094,MADDPG Seed 42 baseline,30
950084,-178.83807390077288,0.53,1678.2000000129788,41979.67126810404,MADDPG Seed 42 baseline,30
950085,-186.07371245999897,0.51,1488.2056890960282,35510.426052062794,MADDPG Seed 42 baseline,30
950086,-179.6637387065859,0.52,1441.5805119067093,35863.66312382803,MADDPG Seed 42 baseline,30
950087,-199.57578407090463,0.52,1583.772761065403,38172.5716548347,MADDPG Seed 42 baseline,30
950088,-255.5273837036949,0.44,1698.17737539145,40724.63247978592,MADDPG Seed 42 baseline,30
950089,-138.314250260951,0.62,1419.344573624885,35801.8117391694,MADDPG Seed 42 baseline,30
950090,-229.85733592876997,0.46,2071.2491725788386,50835.32187719099,MADDPG Seed 42 baseline,30
950091,-255.2097414904505,0.42,1695.9319599238609,42148.006132679766,MADDPG Seed 42 baseline,30
950092,-204.98981371389223,0.51,1592.423618144916,41237.791591185,MADDPG Seed 42 baseline,30
950093,-224.938888817247,0.5,1736.800079316437,42274.54700133985,MADDPG Seed 42 baseline,30
950094,-195.42228971885365,0.5,1486.0605795741926,36315.59656360911,MADDPG Seed 42 baseline,30
950095,-249.96689531965504,0.42,1506.66044596827,35681.98493743657,MADDPG Seed 42 baseline,30
950096,-261.4170508618675,0.43,1631.5424632536874,30598.715922294545,MADDPG Seed 42 baseline,30
950097,-250.9528961106357,0.43,2225.46746444078,54684.2408988078,MADDPG Seed 42 baseline,30
950098,-193.2623490481934,0.54,1566.946842133582,35747.826152463414,MADDPG Seed 42 baseline,30
950099,-225.3812970678677,0.48,1814.937363681625,40776.90042052953,MADDPG Seed 42 baseline,30
