method,saved_episode,mean_episode_reward,success_rate_percent,mean_latency_ms,mean_energy_mJ,mean_selected_cpu,std_selected_cpu,mean_selected_bandwidth,std_selected_bandwidth,mean_selection_score_gap,mean_selection_entropy,low_resource_percent,saturated_resource_percent,agent_selection_entropy,largest_agent_share_percent,unique_agents_selected
CA-MADDPG best,10,-262.8227379682824,43.63333333333333,2061.4052654095044,24032.3320356446,0.7396904527346293,0.057035408210209484,0.9999870688120525,5.442898588647557e-06,5.5233637491861976e-09,0.9586301907043145,0.0,100.0,0.0805845090233723,95.43333333333334,2
CA-MADDPG final,30,-253.79664004602088,43.23333333333334,2146.5358646067166,55443.72093275908,0.9835099966650208,0.09820201536447823,0.9999461161295573,0.00012114262195798927,3.929932912190755e-08,0.9617228030783834,0.7000000000000001,100.0,0.6581354258744513,30.4,5
MADDPG Seed 42,30,-223.98853398034456,48.6,1828.0997249199124,40550.18072588651,0.9996727584991604,0.017920208550890274,0.9996667682134236,0.01824467412379401,0.0002962636748949687,0.9645557279704825,0.03333333333333333,99.96666666666667,0.0013037811145198822,99.96666666666667,2
