training_seed,saved_episode,test_seed,selected_agent,success,reward,latency_ms,energy_mJ,selection_entropy,selection_gap,selected_cpu,selected_bandwidth
42,10,950000,uav_U1,1,0.7486915137042356,199.82360990059098,3541.0276290736106,0.01363674267275805,0.9935342669487,0.9977278709411621,0.9850971102714539
42,10,950000,uav_U1,1,1.2489078856023001,468.8686561637717,6420.379553832717,0.008895956503660851,0.9964316487312317,0.9962679743766785,0.984498143196106
42,10,950000,uav_U1,1,0.6284721518290657,1282.7541213293669,29829.626367525798,0.00441111461059897,0.9985271096229553,0.9971239566802979,0.9735658168792725
42,10,950000,uav_U1,1,0.573840222672664,1052.0133954819323,17086.54064072798,0.006833458002291548,0.9973524212837219,0.9964799880981445,0.9765031337738037
42,10,950000,uav_U1,0,-6.498989310077542,4970.629664260716,87689.5996957498,0.004407204211509365,0.9984578490257263,0.9968352317810059,0.9651811122894287
42,10,950000,uav_U1,0,-3.6967440660285993,1157.163036641199,46347.920377300296,0.01197976080813321,0.9947108626365662,0.9974378347396851,0.9869590997695923
42,10,950000,uav_U1,0,-7.500091270305012,5163.547428509367,212759.45697331993,0.0063450395296553875,0.9975962042808533,0.9963158965110779,0.9727938175201416
42,10,950000,uav_U1,0,-7.500091999104884,3191.572554233224,36061.40587102434,0.006521101729791043,0.997397780418396,0.9968785047531128,0.9752084016799927
42,10,950000,uav_U1,0,-7.500091372370281,4713.236305148443,194282.30288319872,0.006970404481951756,0.997260570526123,0.9968361854553223,0.9698514938354492
42,10,950000,uav_U1,1,0.5731281919694096,1011.1170413177841,18243.024673499585,0.005454315898219682,0.9980627298355103,0.9970017671585083,0.9757059812545776
42,10,950000,uav_U1,1,1.303629396611934,115.80442938157431,2126.82141045997,0.007819651916175674,0.9969508647918701,0.9975674152374268,0.9805608987808228
42,10,950000,uav_U1,0,-5.389485999200956,5625.650572614472,91301.15665215703,0.004753895794179148,0.9982569217681885,0.9968588948249817,0.9666934609413147
42,10,950000,uav_U1,1,1.3303420921296703,290.46693455841626,6874.150931875444,0.007436421480283222,0.9970253109931946,0.9975413084030151,0.9841234683990479
42,10,950000,uav_U1,0,-4.64064543260943,2230.457390445884,48733.4830690812,0.006381508005401681,0.9975959062576294,0.9953442215919495,0.9724560976028442
42,10,950000,uav_U1,0,-7.500091435438712,2125.3654533432764,60028.865085087666,0.005966477061894208,0.9978415966033936,0.9964549541473389,0.9687967300415039
42,10,950000,uav_U1,1,1.365317641301126,240.37927136596753,7555.224435629236,0.007411219063312463,0.9972717761993408,0.9972953796386719,0.9884458780288696
42,10,950000,uav_U1,0,-6.4070702839252585,922.0466262394445,3877.71960247236,0.0064300712953780596,0.9977048635482788,0.9967532753944397,0.9861786961555481
42,10,950000,uav_U1,1,1.3190944438295649,343.1847675389006,7044.742261114801,0.00709977122651275,0.9971824884414673,0.9973587989807129,0.9849011898040771
42,10,950000,uav_U1,0,-4.716718779528241,751.4366194739548,16954.595938696297,0.00879008289322487,0.9964936375617981,0.9966469407081604,0.9843002557754517
42,10,950000,uav_U1,1,1.497041272605168,29.541471373415188,736.5422758905822,0.008460179978884765,0.9965418577194214,0.997184157371521,0.9868783354759216
42,10,950000,uav_U1,0,-3.814119863698828,1688.526362305391,44784.26531202645,0.004501834008923838,0.9985122680664062,0.9971297383308411,0.9755522608757019
42,10,950000,uav_U1,1,1.224916595783602,461.16122735412137,11463.823898350713,0.01121452304835151,0.9950531125068665,0.9971740245819092,0.9836249947547913
42,10,950000,uav_U1,1,1.1817330066615543,465.49041929668573,10958.410908788526,0.005309973716516298,0.9981580972671509,0.9978349804878235,0.9854139089584351
42,10,950000,uav_U1,1,1.0392397136483924,704.8231401968608,22129.130718189637,0.007507705774485767,0.9970865249633789,0.9975619316101074,0.985538125038147
42,10,950000,uav_U1,1,1.2327013496313244,492.19507128987607,9659.995469350491,0.007107861400549809,0.9971782565116882,0.9973970651626587,0.9813460111618042
42,10,950000,uav_U1,0,-3.8697504382134857,1836.7123153545788,39303.84099075343,0.005444608660099023,0.9979467988014221,0.9976186156272888,0.976751446723938
42,10,950000,uav_U1,0,-5.8389454945717665,2924.8357491776305,29789.24043892656,0.003727720597753816,0.9988303780555725,0.9953845739364624,0.9654046297073364
42,10,950000,uav_U1,0,-5.14410584972882,1255.9067815480519,36272.54351905939,0.012052226149640435,0.994503915309906,0.9971295595169067,0.9823466539382935
42,10,950000,uav_U1,1,0.6561218815256873,1546.6602896113916,29026.070771779723,0.005246945023867118,0.9981655478477478,0.9971795082092285,0.964257001876831
42,10,950000,uav_U1,0,-3.5843601981605797,1480.025094389849,8604.459544947724,0.008750837338439559,0.9964245557785034,0.9965025186538696,0.9854524731636047
42,10,950000,uav_U1,0,-5.074007213970791,733.5658826607603,11132.508039355098,0.011880870746588532,0.9945112466812134,0.9972742795944214,0.9861228466033936
