training_seed,saved_episode,dominant_agent,dominant_agent_share_percent,unique_agents_selected,success_rate_percent,mean_reward,mean_latency_ms,mean_energy_mJ,mean_selection_entropy,mean_selection_gap,mean_selected_cpu,mean_selected_bandwidth
42,10,uav_U1,100.0,1,49.6,-2.155589142822322,1659.9293282531767,38502.85411199133,0.010246401881581163,0.995721682647864,0.9973948859373728,0.980737542629242
43,10,uav_U3,51.06666666666667,3,48.699999999999996,-2.211995536758648,1702.3427490414142,37061.80694859593,0.38184688870762634,0.3804186005890369,0.994369477947553,0.9124504893024763
44,10,uav_U1,100.0,1,40.266666666666666,-2.8890815750042638,2288.635529664204,11792.841087385372,0.031159896314902957,0.9741642783880233,0.5486001074115435,0.9734937440752983
